Index Raw,Index,Recipe Number Raw,Recipe Number,Series Raw,Series,Armour Type Raw,Type,Key Item Raw,Key Item,Key Enemy Raw,Key Enemy,Key Story,HR Flag Raw,HR Flag,Time Rank Raw,Time Rank,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,ItemNum 1 Raw,ItemNum 2 Raw,ItemNum 3 Raw,ItemNum 4 Raw,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4
00000000,0,00002712,10002,00000002,Hope,00000000,HELM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000001,1,00004E22,20002,00000002,Hope,00000001,BODY,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000002,2,00007532,30002,00000002,Hope,00000002,ARM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000003,3,00009C42,40002,00000002,Hope,00000003,WAIST,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000004,4,0000C352,50002,00000002,Hope,00000004,LEG,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000005,5,00002713,10003,00000003,Leather,00000000,HELM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000006,6,00004E23,20003,00000003,Leather,00000001,BODY,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000007,7,00007533,30003,00000003,Leather,00000002,ARM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000008,8,00009C43,40003,00000003,Leather,00000003,WAIST,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
00000009,9,0000C353,50003,00000003,Leather,00000004,LEG,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
0000000A,10,00002714,10004,00000004,Chainmail,00000000,HELM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
