Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,#ERROR!,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,#ERROR!,,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,#ERROR!,,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,#ERROR!,,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,#ERROR!,,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000031,49,00000031,49,00000006,6,#ERROR!,,00000000,,538EBC80,Xu Wu,00000000,000001B8,Xu Wu Hide,00000003,3,000001BB,Xu Wu Claw,00000002,2,000001BC,Xu Wu Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000032,50,00000032,50,00000007,7,#ERROR!,,0000012A,Xu Wu Certificate S,00000000,-,00000000,0000012A,Xu Wu Certificate S,00000002,2,000001C2,Xu Wu Claw+,00000006,6,000001C3,Xu Wu Fang+,00000004,4,000001BD,Xu Wu Cerebrospinal Fluid,00000001,1,00000001,TRUE
00000033,51,00000033,51,00000008,8,#ERROR!,,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,000001C0,Golden Corneum+,00000006,6,000001C1,Xu Wu Tentacle+,00000004,4,000001C4,Xu Wu Umbragem,00000001,1,00000000,FALSE
0000001F,31,0000001F,31,00000009,9,#ERROR!,,00000000,,A3C51700,Rey Dau,00000000,0000008B,Rey Dau Scale,00000003,3,0000008E,Rey Dau Wingtalon,00000002,2,0000008D,Rey Dau Thunderhorn,00000001,1,00000000,,00000000,,00000000,FALSE
00000020,32,00000020,32,0000000A,10,#ERROR!,,00000000,,0000001A,Rathian,00000000,00000218,Rathian Certificate S,00000002,2,00000068,Rathian Webbing,00000003,3,00000243,Novacrystal,00000001,1,00000000,,00000000,,00000000,FALSE
