Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Gunlance I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Gunlance II,Hope Gunlance I,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Gunlance III,Hope Gunlance II,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Gunlance IV,Hope Gunlance III,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Gunlance V,Hope Gunlance IV,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000005,5,00000005,5,00000045,69,Esperanza Gunlance,Hope Gunlance V,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,00000006,6,Bone Gunlance I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,00000007,7,Bone Gunlance II,Bone Gunlance I,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,00000008,8,Bone Gunlance III,Bone Gunlance II,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,00000009,9,Bone Gunlance IV,Bone Gunlance III,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,0000000A,10,Great Bone Gunlance,Bone Gunlance IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,0000000B,11,Triple Bayonet I,,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,0000000C,12,Triple Bayonet II,Triple Bayonet I,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,0000000D,13,Triple Bayonet III,Triple Bayonet II,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,0000000E,14,Triumvirate Edge,Triple Bayonet III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,0000000F,15,Quematrice Culebrina I,,00000000,,FDEAE550,Quematrice,00000000,00000058,Quematrice Scale,00000003,3,0000012B,Quematrice Igniter,00000002,2,0000005A,Quematrice Crest,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000010,16,Quematrice Culebrina II,Quematrice Culebrina I,00000000,,21D55200,Rompopolo,00000000,00000244,Firestone,00000001,1,0000005B,Quematrice Tail,00000001,1,00000037,Dragonite Ore,00000001,1,00000000,,00000000,,00000000,FALSE
00000011,17,00000011,17,00000011,17,Quematrice Culebrina III,Quematrice Culebrina II,00000000,,00000000,-,65760700,00000131,Quematrice Certificate S,00000002,2,0000012F,Quematrice Igniter+,00000005,5,00000130,Quematrice Crest+,00000003,3,00000000,,00000000,,00000001,TRUE
00000012,18,00000012,18,00000012,18,Quematrice Culebrina IV,Quematrice Culebrina III,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,0000012E,Quematrice Hide+,00000006,6,00000252,Inferno Sac,00000005,5,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000013,19,00000013,19,00000013,19,Firetrail Quemador,Quematrice Culebrina IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,0000012D,Quematrice Scale+,00000006,6,00000184,Nu Udra Flamegem,00000001,1,00000000,,00000000,,00000000,FALSE
00000014,20,00000014,20,00000014,20,Balahara Exploder I,,00000000,,00000010,Balahara,00000000,00000051,Balahara Scale,00000003,3,00000052,Balahara Skull,00000001,1,00000253,Aqua Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,00000015,21,Balahara Exploder II,Balahara Exploder I,00000000,,00000000,-,D9C1E4C0,00000188,Guardian Doshaguma Claw,00000001,1,00000050,Balahara Shell,00000002,2,00000053,Balahara Tail,00000001,1,00000000,,00000000,,00000000,FALSE
00000016,22,00000016,22,00000016,22,Balahara Exploder III,Balahara Exploder II,0000013B,Balahara Certificate S,00000000,-,00000000,0000013B,Balahara Certificate S,00000002,2,0000013A,Balahara Skull+,00000002,2,00000254,Torrent Sac,00000002,2,000002C0,Balahara Black Pearl,00000001,1,00000001,TRUE
00000017,23,00000017,23,00000017,23,Balahara Exploder IV,Balahara Exploder III,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,00000139,Balahara Carapace,00000005,5,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000018,24,00000018,24,00000018,24,Sandsea Visponan,Balahara Exploder IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000138,Balahara Scale+,00000006,6,0000014E,Uth Duna Watergem,00000001,1,00000000,,00000000,,00000000,FALSE
00000019,25,00000019,25,00000019,25,Uth Falarmata I,,00000000,,00000000,-,97DC3400,00000148,Uth Duna Certificate,00000001,1,00000146,Uth Duna Claw,00000002,2,00000144,Uth Duna Cilia,00000001,1,00000000,,00000000,,00000000,FALSE
0000001A,26,0000001A,26,0000001A,26,Uth Falarmata II,Uth Falarmata I,0000013B,Balahara Certificate S,00000000,-,00000000,0000013B,Balahara Certificate S,00000001,1,00000254,Torrent Sac,00000003,3,0000003E,Dragonbone Relic,00000001,1,00000000,,00000000,,00000000,FALSE
0000001B,27,0000001B,27,0000001B,27,Uth Falarmata III,Uth Falarmata II,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,0000014D,Uth Duna Claw+,00000005,5,0000014B,Uth Duna Cilia+,00000003,3,00000147,Uth Duna Plate,00000001,1,00000000,FALSE
0000001C,28,0000001C,28,0000001C,28,Falarmata-of-the-Waves,Uth Falarmata III,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,0000014C,Uth Duna Tentacle+,00000006,6,0000014A,Uth Duna Hide+,00000006,6,0000014E,Uth Duna Watergem,00000001,1,00000000,FALSE
0000001D,29,0000001D,29,0000001D,29,Shell Gunberd I,,00000000,,AEBC9E00,Nerscylla,00000000,00000201,Nerscylla Shell,00000003,3,00000203,Nerscylla Claw,00000002,2,0000025D,Sleep Sac,00000001,1,00000000,,00000000,,00000000,FALSE
0000001E,30,0000001E,30,0000001E,30,Shell Gunberd II,Shell Gunberd I,00000209,Nerscylla Certificate S,00000000,-,00000000,00000209,Nerscylla Certificate S,00000001,1,00000207,Nerscylla Claw+,00000003,3,0000025E,Coma Sac,00000003,3,00000000,,00000000,,00000000,FALSE
0000001F,31,0000001F,31,0000001F,31,Shell Gunberd III,Shell Gunberd II,000001A9,Jin Dahaad Certificate S,00000000,-,00000000,000001A9,Jin Dahaad Certificate S,00000003,3,00000208,Nerscylla Spike+,00000005,5,000001E0,Nerscylla Shear,00000002,2,000001EA,Monster Broth,00000003,3,00000000,FALSE
