Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Cannon I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Cannon II,,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Cannon III,,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Cannon IV,,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Cannon V,,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,00000006,6,Chata Sheller I,,00000000,,00000021,Chatacabra,00000000,00000057,Chatacabra Scale,00000003,3,00000055,Chatacabra Hide,00000002,2,00000054,Chatacabra Jaw,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000007,7,Chata Sheller II,,00000000,,21D55200,Rompopolo,00000000,00000151,Rompopolo Claw,00000001,1,00000056,Chatacabra Shell,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000011,17,00000011,17,00000008,8,Chata Sheller III,,00000000,,00000000,-,65760700,00000129,Chatacabra Certificate S,00000002,2,00000125,Chatacabra Scale+,00000005,5,00000126,Chatacabra Jaw+,00000003,3,00000000,,00000000,,00000001,TRUE
00000012,18,00000012,18,00000009,9,Chata Sheller IV,,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,00000128,Chatacabra Carapace,00000006,6,00000062,Acute Fang,00000006,6,00000000,,00000000,,00000000,FALSE
00000014,20,00000014,20,0000000A,10,Power Stinger,,00000000,,AA284680,Congalala,00000000,000001F8,Congalala Pelt,00000003,3,000001F9,Congalala Claw,00000002,2,000001FA,Congalala Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,0000000B,11,Power Stinger II,,00000000,,00000000,-,65760700,00000249,Congalala Certificate S,00000001,1,000001FE,Congalala Claw+,00000005,5,000001FF,Congalala Fang+,00000004,4,0000023C,Conga Pelt+,00000002,2,00000001,TRUE
00000016,22,00000016,22,0000000C,12,Wild Stinger,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000200,Vibrant Pelt+,00000002,2,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000017,23,00000017,23,0000000D,13,Uth Dalgap I,,00000000,,00000000,-,97DC3400,00000148,Uth Duna Certificate,00000001,1,00000146,Uth Duna Claw,00000002,2,00000144,Uth Duna Cilia,00000001,1,00000000,,00000000,,00000000,FALSE
00000018,24,00000018,24,0000000E,14,Uth Dalgap II,,0000013B,Balahara Certificate S,00000000,-,00000000,0000013B,Balahara Certificate S,00000001,1,00000254,Torrent Sac,00000003,3,0000003E,Dragonbone Relic,00000001,1,00000000,,00000000,,00000000,FALSE
00000019,25,00000019,25,0000000F,15,Uth Dalgap III,,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,0000014D,Uth Duna Claw+,00000005,5,0000014B,Uth Duna Cilia+,00000003,3,00000147,Uth Duna Plate,00000001,1,00000000,FALSE
0000001A,26,0000001A,26,00000010,16,Dalgap-of-the-Waves,,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,0000014C,Uth Duna Tentacle+,00000006,6,0000014A,Uth Duna Hide+,00000006,6,0000014E,Uth Duna Watergem,00000001,1,00000000,FALSE
0000001B,27,0000001B,27,00000011,17,Rompo Sniper I,,00000000,,21D55200,Rompopolo,00000000,00000150,Rompopolo Hide,00000003,3,00000151,Rompopolo Claw,00000002,2,00000259,Poison Sac,00000001,1,00000000,,00000000,,00000000,FALSE
0000001C,28,0000001C,28,00000012,18,Rompo Sniper II,,00000000,,00000000,-,65760700,00000159,Rompopolo Certificate S,00000001,1,00000156,Rompopolo Claw+,00000003,3,0000025A,Toxin Sac,00000003,3,00000000,,00000000,,00000001,TRUE
0000001D,29,0000001D,29,00000013,19,Rompo Sniper III,,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,00000157,Spotted Poison Hide+,00000004,4,00000069,Rathian Spike+,00000001,1,00000000,,00000000,,00000000,FALSE
0000001E,30,0000001E,30,00000014,20,Rompo Latrotox,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000158,Rompopolo Beak+,00000003,3,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000001F,31,0000001F,31,00000015,21,Ner Bustergun I,,00000000,,AEBC9E00,Nerscylla,00000000,00000201,Nerscylla Shell,00000003,3,00000203,Nerscylla Claw,00000002,2,0000025D,Sleep Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000020,32,00000020,32,00000016,22,Ner Bustergun II,,00000209,Nerscylla Certificate S,00000000,-,00000000,00000209,Nerscylla Certificate S,00000001,1,00000207,Nerscylla Claw+,00000003,3,0000025E,Coma Sac,00000003,3,00000000,,00000000,,00000000,FALSE
00000021,33,00000021,33,00000017,23,Ner Bustergun III,,000001A9,Jin Dahaad Certificate S,00000000,-,00000000,000001A9,Jin Dahaad Certificate S,00000003,3,00000208,Nerscylla Spike+,00000005,5,000001E0,Nerscylla Shear,00000002,2,000001EA,Monster Broth,00000003,3,00000000,FALSE
00000022,34,00000022,34,00000018,24,Buster Blaster,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000206,Nerscylla Carapace,00000006,6,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000023,35,00000023,35,00000019,25,Nu Muneo I,,00000000,,62CFB100,Nu Udra,00000000,00000178,Nu Udra Hide,00000003,3,00000179,Nu Udra Spike,00000002,2,0000017C,Nu Udra Oilmucus,00000001,1,00000000,,00000000,,00000000,FALSE
00000024,36,00000024,36,0000001A,26,Nu Muneo II,,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,00000180,Nu Udra Spike+,00000005,5,00000183,Nu Udra Oilmucus+,00000004,4,0000017D,Nu Udra Cerebrospinal Fluid,00000001,1,00000000,FALSE
00000025,37,00000025,37,0000001B,27,Abaddonian Muneo,,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,00000182,Nu Udra Tentacle+,00000006,6,00000181,Nu Udra Horn+,00000004,4,00000184,Nu Udra Flamegem,00000001,1,00000000,FALSE
00000026,38,00000026,38,0000001C,28,Jin Dhaphal I,,00000000,,00000000,-,0D846690,000001A9,Jin Dahaad Certificate S,00000001,1,000001A6,Jin Dahaad Claw+,00000005,5,000001A5,Jin Dahaad Iceplate,00000004,4,000002C3,Jin Dahaad Tail,00000001,1,00000000,FALSE
00000027,39,00000027,39,0000001D,29,Precipice Malmiam,,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,000001A7,Jin Dahaad Horn,00000004,4,000001A4,Jin Dahaad Carapace,00000004,4,000001A8,Jin Dahaad Icegem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,0000001E,30,Iron Assault I,,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,0000001F,31,Iron Assault II,,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,00000020,32,Iron Assault III,,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,00000021,33,Steel Assault,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,00000022,34,Bone Shooter I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,00000023,35,Bone Shooter II,,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,00000024,36,Bone Shooter III,,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,00000025,37,Bone Shooter IV,,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,00000026,38,Heavy Shooter,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000002B,43,0000002B,43,00000027,39,Yian Kut-Ku Cannon I,,00000000,,17F6E620,Yian Kut-Ku,00000000,0000020F,Yian Kut-Ku Certificate S,00000001,1,0000020E,Kut-Ku Wing,00000003,3,0000020C,Kut-Ku Ear,00000002,2,0000020A,Kut-Ku Scale+,00000005,5,00000000,FALSE
0000002C,44,0000002C,44,00000028,40,Yian Kut-Ku Cannon II,,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000002,2,0000020D,Giant Beak,00000004,4,00000252,Inferno Sac,00000004,4,00000216,Bird Wyvern Gem,00000001,1,00000000,FALSE
0000002D,45,0000002D,45,00000029,41,Super Kut-Ku Cannon,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,0000020B,Kut-Ku Carapace,00000006,6,00000184,Nu Udra Flamegem,00000001,1,00000000,,00000000,,00000000,FALSE
0000002E,46,0000002E,46,0000002A,42,Tankmage I,,00000000,,3E913CC0,Gypceros,00000000,00000215,Gypceros Certificate S,00000001,1,00000212,Gypceros Wing,00000003,3,00000213,Gypceros Head,00000002,2,00000211,Rubbery Hide+,00000005,5,00000000,FALSE
0000002F,47,0000002F,47,0000002B,43,Tankmage II,,00000000,,E01B5A00,Gravios,00000000,00000223,Gravios Certificate S,00000002,2,00000214,Gypceros Tail,00000004,4,0000025A,Toxin Sac,00000004,4,00000000,,00000000,,00000000,FALSE
00000030,48,00000030,48,0000002C,44,Tanksorcerer,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000211,Rubbery Hide+,00000006,6,00000216,Bird Wyvern Gem,00000001,1,00000243,Novacrystal,00000001,1,00000000,FALSE
00000031,49,00000031,49,0000002D,45,Queen's Longfire I,,00000000,,0000001A,Rathian,00000000,00000218,Rathian Certificate S,00000001,1,00000068,Rathian Webbing,00000003,3,00000069,Rathian Spike+,00000002,2,00000066,Rathian Scale+,00000005,5,00000000,FALSE
00000032,50,00000032,50,0000002E,46,Queen's Longfire II,,00000160,Rey Dau Certificate S,00000000,-,00000000,00000160,Rey Dau Certificate S,00000002,2,00000067,Rathian Carapace,00000006,6,0000019B,Rath Medulla,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000033,51,00000033,51,0000002F,47,Queen's Farflier,,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000066,Rathian Scale+,00000005,5,0000006A,Rathian Ruby,00000001,1,00000000,,00000000,,00000000,FALSE
00000034,52,00000034,52,00000030,48,Grounding Fulgur I,,00000000,,0663AA30,Guardian Fulgur Anjanath,00000000,00000248,Guardian Fulgur Certificate S,00000002,2,000001E3,Guardian Fulgur Fang+,00000005,5,000001E5,Guardian Fulgur Tail,00000001,1,00000256,Thunder Sac,00000004,4,00000000,FALSE
