Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Glaive I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Glaive II,Hope Glaive I,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Glaive III,Hope Glaive II,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Glaive IV,Hope Glaive III,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Glaive V,Hope Glaive IV,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000005,5,00000005,5,00000049,73,Esperanza Glaive,Hope Glaive V,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,00000006,6,Bone Staff I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,00000007,7,Bone Staff II,Bone Staff I,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,00000008,8,Bone Staff III,Bone Staff II,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,00000009,9,Bone Staff IV,Bone Staff III,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,0000000A,10,Aerial Glaive,Bone Staff IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,0000000B,11,Iron Gale I,,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,0000000C,12,Iron Gale II,Iron Gale I,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,0000000D,13,Iron Gale III,Iron Gale II,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,0000000E,14,Chrome Gale,Iron Gale III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,0000000F,15,Chata Glaive I,,00000000,,00000021,Chatacabra,00000000,00000057,Chatacabra Scale,00000003,3,00000055,Chatacabra Hide,00000002,2,00000054,Chatacabra Jaw,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000010,16,Chata Glaive II,Chata Glaive I,00000000,,21D55200,Rompopolo,00000000,00000151,Rompopolo Claw,00000001,1,00000056,Chatacabra Shell,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000011,17,00000011,17,00000011,17,Chata Glaive III,Chata Glaive II,00000000,,00000000,-,65760700,00000129,Chatacabra Certificate S,00000002,2,00000125,Chatacabra Scale+,00000005,5,00000126,Chatacabra Jaw+,00000003,3,00000000,,00000000,,00000001,TRUE
00000012,18,00000012,18,00000012,18,Chata Glaive IV,Chata Glaive III,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,00000128,Chatacabra Carapace,00000006,6,00000062,Acute Fang,00000006,6,00000000,,00000000,,00000000,FALSE
00000013,19,00000013,19,0000004A,74,Shrouded Laphoka,Chata Glaive IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000127,Chatacabra Hide+,00000006,6,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000014,20,00000014,20,00000013,19,Barina Perche I,,00000000,,A4DDE380,Lala Barina,00000000,00000111,Lala Barina Shell,00000003,3,0000025B,Lala Barina Mucus,00000002,2,00000112,Lala Barina Claw,00000001,1,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,00000014,20,Barina Perche II,Barina Perche I,00000000,,AEBC9E00,Nerscylla,00000000,00000203,Nerscylla Claw,00000001,1,00000115,Lala Barina Floret,00000002,2,00000113,Lala Barina Stinger,00000001,1,00000000,,00000000,,00000000,FALSE
00000016,22,00000016,22,00000015,21,Barina Perche III,Barina Perche II,00000000,,00000000,-,65760700,00000136,Lala Barina Certificate S,00000002,2,0000025C,Lala Barina Mucus+,00000005,5,00000134,Lala Barina Claw+,00000003,3,00000000,,00000000,,00000001,TRUE
00000017,23,00000017,23,00000016,22,Barina Perche IV,Barina Perche III,00000290,Monster Hardbone,00000000,-,00000000,00000290,Monster Hardbone,00000003,3,00000132,Lala Barina Floret+,00000006,6,00000135,Lala Barina Stinger+,00000004,4,00000000,,00000000,,00000000,FALSE
00000018,24,00000018,24,00000017,23,Lala Stromatopelm,Barina Perche IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000133,Lala Barina Carapace,00000006,6,000001EA,Monster Broth,00000004,4,00000216,Bird Wyvern Gem,00000001,1,00000000,FALSE
00000019,25,00000019,25,00000018,24,Balahara Glaive I,,00000000,,00000010,Balahara,00000000,00000051,Balahara Scale,00000003,3,00000052,Balahara Skull,00000001,1,00000253,Aqua Sac,00000001,1,00000000,,00000000,,00000000,FALSE
0000001A,26,0000001A,26,00000019,25,Balahara Glaive II,Balahara Glaive I,00000000,,00000000,-,D9C1E4C0,00000188,Guardian Doshaguma Claw,00000001,1,00000050,Balahara Shell,00000002,2,00000053,Balahara Tail,00000001,1,00000000,,00000000,,00000000,FALSE
0000001B,27,0000001B,27,0000001A,26,Balahara Glaive III,Balahara Glaive II,0000013B,Balahara Certificate S,00000000,-,00000000,0000013B,Balahara Certificate S,00000002,2,0000013A,Balahara Skull+,00000002,2,00000254,Torrent Sac,00000002,2,000002C0,Balahara Black Pearl,00000001,1,00000001,TRUE
0000001C,28,0000001C,28,0000001B,27,Balahara Glaive IV,Balahara Glaive III,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,00000139,Balahara Carapace,00000005,5,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
