Index Raw,Index,Name Raw,Name,Type Raw,Type,Series Raw,Series,Defense Raw,Defense,Fire Res Raw,Fire Res,Water Res Raw,Water Res,Thunder Res Raw,Thunder Res,Ice Res Raw,Ice Res,Dragon Res Raw,Dragon Res,Slot 1 Raw,Slot 1,Slot 2 Raw,Slot 2,Slot 3 Raw,Slot 3,Series Skill Raw,Series Skill,Group Skill Raw,Group Skill,Skill 1 Raw,Skill 1,Skill Level 1 Raw,Skill Level 1,Skill 2 Raw,Skill 2,Skill Level 2 Raw,Skill Level 2,Skill 3 Raw,Skill 3,Skill Level 3 Raw,Skill Level 3
00000000,0,5383AD5C-CA4D-4FAA-8583-DA37B738B483,Hope Mask,00000000,HELM,00000002,Hope,00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,2A0A4AC0,Stun Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000001,1,8A8EAF84-D6F0-4983-9A1B-A6E1455116BF,Hope Mail,00000001,BODY,00000002,Hope,00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,50462980,Divine Blessing,00000001,1,00000000,,00000000,,00000000,,00000000,
00000002,2,8B2913A9-14B2-4DC7-A1F1-933237A9C633,Hope Vambraces,00000002,ARM,00000002,Hope,00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,50462980,Divine Blessing,00000001,1,00000000,,00000000,,00000000,,00000000,
00000003,3,343B29DA-C830-4514-8395-BF72DB6EC994,Hope Coil,00000003,WAIST,00000002,Hope,00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,2A0A4AC0,Stun Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000004,4,BEB67C1E-8D41-43CC-881E-3A4157BE0421,Hope Greaves,00000004,LEG,00000002,Hope,00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,50462980,Divine Blessing,00000001,1,00000000,,00000000,,00000000,,00000000,
00000005,5,EA469F6F-221C-4C35-8801-DBDE05C0791C,Leather Headgear,00000000,HELM,00000003,Leather,00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,334A7580,Botanist,00000001,1,00000000,,00000000,,00000000,,00000000,
00000006,6,24C13645-D7E6-44C4-90D9-5F70F353BF80,Leather Vest,00000001,BODY,00000003,Leather,00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,334A7580,Botanist,00000001,1,00000000,,00000000,,00000000,,00000000,
00000007,7,8729382C-6E64-4997-AFD2-FB0CCEB101C6,Leather Gloves,00000002,ARM,00000003,Leather,00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,79E68180,Hunger Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000008,8,452330C9-F1E2-47CD-AD71-C2FD468FD2F1,Leather Belt,00000003,WAIST,00000003,Leather,00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,334A7580,Botanist,00000001,1,00000000,,00000000,,00000000,,00000000,
00000009,9,51982DDA-FE81-4AEA-8943-EDDC65183704,Leather Pants,00000004,LEG,00000003,Leather,00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,334A7580,Botanist,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000A,10,C2D73FDD-AA82-4B7B-AB28-B6044B36174E,Chainmail Headgear,00000000,HELM,00000004,Chainmail,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,238443C0,Geologist,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000B,11,EFCF7B75-8990-45D8-AFFF-9175814887D2,Chainmail Vest,00000001,BODY,00000004,Chainmail,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,238443C0,Geologist,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000C,12,308FD2AA-DAAF-4519-90BC-B27A1146365F,Chainmail Gloves,00000002,ARM,00000004,Chainmail,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,238443C0,Geologist,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000D,13,712CC2D5-E711-4CEF-8DD5-AA8F7A45D81E,Chainmail Belt,00000003,WAIST,00000004,Chainmail,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,BD27BF80,Recovery Speed,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000E,14,3E5B03A5-CC4D-4C48-A19A-DE38BD027CD6,Chainmail Pants,00000004,LEG,00000004,Chainmail,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,BD27BF80,Recovery Speed,00000001,1,00000000,,00000000,,00000000,,00000000,
0000000F,15,556609D9-CC1B-4B56-98C6-CAA1373A5E0D,Bone Helm,00000000,HELM,00000005,Bone,00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,00000000,,D7508FC0,Marathon Runner,00000001,1,00000000,,00000000,,00000000,,00000000,
00000010,16,83799C7A-5690-46E0-A475-5CF456CF100E,Bone Mail,00000001,BODY,00000005,Bone,00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,00000000,,D7508FC0,Marathon Runner,00000001,1,00000000,,00000000,,00000000,,00000000,
00000011,17,F520BE28-5596-4AEC-8415-E403998433BE,Bone Vambraces,00000002,ARM,00000005,Bone,00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,00000000,,2A0A4AC0,Stun Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000012,18,774E0670-3A30-43AA-9797-70A0E3CBCAFD,Bone Coil,00000003,WAIST,00000005,Bone,00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,00000000,,D7508FC0,Marathon Runner,00000001,1,00000000,,00000000,,00000000,,00000000,
00000013,19,79BE4F0A-7E7A-45F5-BAC4-AD7786B2F736,Bone Greaves,00000004,LEG,00000005,Bone,00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,00000000,,2A0A4AC0,Stun Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000014,20,7662BBD3-D5A3-4240-96A9-C896C95B3CE9,Bulaqchi Specs,00000000,HELM,0000000C,Bulaqchi,00000004,4,FFFFFFFC,-4,00000001,1,00000001,1,FFFFFFFE,-2,00000004,4,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,358ABBC0,Entomologist,00000001,1,00000000,,00000000,,00000000,,00000000,
00000015,21,9CEA3459-3BC1-4F56-AAFA-853D5CD088EB,Talioth Vambraces,00000002,ARM,0000000B,Talioth,00000004,4,00000004,4,FFFFFFFE,-2,FFFFFFFE,-2,FFFFFFFE,-2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,B23EB800,Leap of Faith,00000001,1,00000000,,00000000,,00000000,,00000000,
00000016,22,5F1A4E5F-2616-4379-9094-CD15C4843001,Chatacabra Helm,00000000,HELM,47C7CF80,Chatacabra,00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,25CB1D80,Speed Eating,00000001,1,00000000,,00000000,,00000000,,00000000,
