Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Blade I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Blade II,Hope Blade I,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Blade III,Hope Blade II,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Blade IV,Hope Blade III,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Blade V,Hope Blade IV,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000005,5,00000005,5,0000004C,76,Esperanza Blade,Hope Blade V,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,00000027,39,Bone Blade I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,00000028,40,Bone Blade II,Bone Blade I,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,00000029,41,Bone Blade III,Bone Blade II,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,0000002A,42,Bone Blade IV,Bone Blade III,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,0000002B,43,Bone Slasher,Bone Blade IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,00000016,22,Buster Sword I,Hope Blade II,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,00000017,23,Buster Sword II,Buster Sword I,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,00000018,24,Buster Sword III,Buster Sword II,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,00000019,25,Ravager Blade,Buster Sword III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,0000000F,15,Quematrice Espada I,Hope Blade I,00000000,,FDEAE550,Quematrice,00000000,00000058,Quematrice Scale,00000003,3,0000012B,Quematrice Igniter,00000002,2,0000005A,Quematrice Crest,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000010,16,Quematrice Espada II,Quematrice Espada I,00000000,,21D55200,Rompopolo,00000000,00000244,Firestone,00000001,1,0000005B,Quematrice Tail,00000001,1,00000037,Dragonite Ore,00000001,1,00000000,,00000000,,00000000,FALSE
00000011,17,00000011,17,00000011,17,Quematrice Espada III,Quematrice Espada II,00000000,,00000000,-,65760700,00000131,Quematrice Certificate S,00000002,2,0000012F,Quematrice Igniter+,00000005,5,00000130,Quematrice Crest+,00000003,3,00000000,,00000000,,00000001,TRUE
00000012,18,00000012,18,00000012,18,Quematrice Espada IV,Quematrice Espada III,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,0000012E,Quematrice Hide+,00000006,6,00000252,Inferno Sac,00000005,5,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000013,19,00000013,19,00000013,19,Firetrail Blaisdell,Quematrice Espada IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,0000012D,Quematrice Scale+,00000006,6,00000184,Nu Udra Flamegem,00000001,1,00000000,,00000000,,00000000,FALSE
00000014,20,00000014,20,00000032,50,Dosha Fellslayer I,Bone Blade I,00000000,,0000000F,Doshaguma,00000000,00000022,Doshaguma Fur,00000003,3,00000023,Doshaguma Claw,00000002,2,00000024,Doshaguma Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,00000033,51,Dosha Fellslayer II,Dosha Fellslayer I,00000000,,00000000,-,D9C1E4C0,00000188,Guardian Doshaguma Claw,00000001,1,00000021,Doshaguma Hide,00000003,3,0000024C,Tough Guardian Bone,00000001,1,00000000,,00000000,,00000000,FALSE
00000016,22,00000016,22,00000034,52,Dosha Fellslayer III,Dosha Fellslayer II,00000141,Doshaguma Certificate S,00000000,-,00000000,00000141,Doshaguma Certificate S,00000002,2,0000013F,Doshaguma Claw+,00000006,6,00000140,Doshaguma Fang+,00000004,4,00000000,,00000000,,00000000,FALSE
00000017,23,00000017,23,00000050,80,Fellslayer Dangeom,Dosha Fellslayer III,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000013E,Doshaguma Hide+,00000006,6,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000018,24,00000018,24,00000021,33,Immane Blade I,Bone Blade II,00000000,,AEBC9E00,Nerscylla,00000000,00000201,Nerscylla Shell,00000003,3,00000203,Nerscylla Claw,00000002,2,0000025D,Sleep Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000019,25,00000019,25,00000022,34,Immane Blade II,Immane Blade I,00000209,Nerscylla Certificate S,00000000,-,00000000,00000209,Nerscylla Certificate S,00000001,1,00000207,Nerscylla Claw+,00000003,3,0000025E,Coma Sac,00000003,3,00000000,,00000000,,00000001,TRUE
0000001A,26,0000001A,26,00000023,35,Immane Blade III,Immane Blade II,000001A9,Jin Dahaad Certificate S,00000000,-,00000000,000001A9,Jin Dahaad Certificate S,00000003,3,00000208,Nerscylla Spike+,00000005,5,000001E0,Nerscylla Shear,00000002,2,000001EA,Monster Broth,00000003,3,00000000,FALSE
0000001B,27,0000001B,27,00000024,36,Immolator Blade,Immane Blade III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000206,Nerscylla Carapace,00000006,6,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000001C,28,0000001C,28,0000002C,44,Nu Krake I,Bone Blade II,00000000,,62CFB100,Nu Udra,00000000,00000178,Nu Udra Hide,00000003,3,00000179,Nu Udra Spike,00000002,2,0000017C,Nu Udra Oilmucus,00000001,1,00000000,,00000000,,00000000,FALSE
0000001D,29,0000001D,29,0000002D,45,Nu Krake II,Nu Krake I,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,00000180,Nu Udra Spike+,00000005,5,00000183,Nu Udra Oilmucus+,00000004,4,0000017D,Nu Udra Cerebrospinal Fluid,00000001,1,00000000,FALSE
0000001E,30,0000001E,30,0000002E,46,Abaddonian Krake,Nu Krake II,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,00000182,Nu Udra Tentacle+,00000006,6,00000181,Nu Udra Horn+,00000004,4,00000184,Nu Udra Flamegem,00000001,1,00000000,FALSE
0000001F,31,0000001F,31,00000035,53,Dosha Grimslayer I,Dosha Fellslayer I,00000000,,00000000,-,D9C1E4C0,00000186,Guardian Doshaguma Fur,00000003,3,00000188,Guardian Doshaguma Claw,00000002,2,00000189,Guardian Doshaguma Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000020,32,00000020,32,00000036,54,Dosha Grimslayer II,Dosha Grimslayer I,0000018F,G. Doshaguma Certificate S,00000000,-,00000000,0000018F,G. Doshaguma Certificate S,00000002,2,0000018D,Guardian Doshaguma Claw+,00000006,6,0000018E,Guardian Doshaguma Fang+,00000004,4,00000260,Guardian Blood+,00000001,1,00000001,TRUE
00000021,33,00000021,33,00000037,55,Grimslayer Urgeom,Dosha Grimslayer II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000018B,Guardian Doshaguma Fur+,00000006,6,00000299,Guardian Pelt+,00000006,6,00000025,Beast Gem,00000001,1,00000000,FALSE
00000022,34,00000022,34,0000001C,28,Albirath Wing I,Hope Blade III,00000000,,00000000,-,D9C1E4C0,00000190,Guardian Rathalos Scale,00000003,3,00000192,Guardian Rathalos Webbing,00000002,2,00000251,Flame Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000023,35,00000023,35,0000001D,29,Albirath Wing II,Albirath Wing I,0000019A,G. Rathalos Certificate S,00000000,-,00000000,0000019A,G. Rathalos Certificate S,00000002,2,00000198,Guardian Rathalos Wing,00000005,5,000002C2,Guardian Rathalos Plate,00000001,1,00000260,Guardian Blood+,00000001,1,00000000,FALSE
00000024,36,00000024,36,0000001E,30,Whitefire Rathguard,Albirath Wing II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,00000197,Guardian Rathalos Carapace,00000006,6,000002C1,Guardian Rathalos Ruby,00000001,1,000001C7,Guardian Scale+,00000006,6,00000000,FALSE
00000025,37,00000025,37,0000001A,26,Jin Dhavaar I,Buster Sword III,00000000,,00000000,-,0D846690,000001A9,Jin Dahaad Certificate S,00000001,1,000001A6,Jin Dahaad Claw+,00000005,5,000001A5,Jin Dahaad Iceplate,00000004,4,000002C3,Jin Dahaad Tail,00000001,1,00000000,FALSE
