Monster ID,Monster,Data ID,Reward Type ID,Reward Type,Parts Index,Rank,Item ID,Item,Number,Probability
EM0001_00_0,Rathian,100,RW000,Carving,-1,HIGH,102,Rathian Scale+,1,30%
EM0001_00_0,Rathian,101,RW000,Carving,-1,HIGH,103,Rathian Carapace,1,23%
EM0001_00_0,Rathian,102,RW000,Carving,-1,HIGH,104,Rathian Webbing,1,18%
EM0001_00_0,Rathian,103,RW000,Carving,-1,HIGH,105,Rathian Spike+,1,13%
EM0001_00_0,Rathian,104,RW000,Carving,-1,HIGH,411,Rath Medulla,1,11%
EM0001_00_0,Rathian,105,RW000,Carving,-1,HIGH,106,Rathian Ruby,1,5%
EM0001_00_0,Rathian,110,RW008,Carving (Rotten Monster Carcass),-1,HIGH,102,Rathian Scale+,1,40%
EM0001_00_0,Rathian,111,RW008,Carving (Rotten Monster Carcass),-1,HIGH,103,Rathian Carapace,1,30%
EM0001_00_0,Rathian,112,RW008,Carving (Rotten Monster Carcass),-1,HIGH,594,Inferno Sac,1,30%
EM0001_00_0,Rathian,200,RW001,Carving (Severed Part),-1,HIGH,105,Rathian Spike+,1,80%
EM0001_00_0,Rathian,201,RW001,Carving (Severed Part),-1,HIGH,411,Rath Medulla,1,13%
EM0001_00_0,Rathian,202,RW001,Carving (Severed Part),-1,HIGH,106,Rathian Ruby,1,7%
EM0001_00_0,Rathian,210,RW012,Carving (Rotten Severed Part),-1,HIGH,102,Rathian Scale+,1,60%
EM0001_00_0,Rathian,211,RW012,Carving (Rotten Severed Part),-1,HIGH,105,Rathian Spike+,1,40%
EM0001_00_0,Rathian,300,RW005,Broken Part Rewards,1,HIGH,104,Rathian Webbing,1,100%
EM0001_00_0,Rathian,310,RW005,Broken Part Rewards,2,HIGH,104,Rathian Webbing,1,100%
EM0001_00_0,Rathian,400,RW006,Wound Destroyed Reward,-1,HIGH,102,Rathian Scale+,1,50%
EM0001_00_0,Rathian,401,RW006,Wound Destroyed Reward,-1,HIGH,103,Rathian Carapace,1,42%
EM0001_00_0,Rathian,402,RW006,Wound Destroyed Reward,-1,HIGH,105,Rathian Spike+,1,8%
EM0001_00_0,Rathian,500,RW004,Target Rewards,-1,HIGH,536,Rathian Certificate S,1,8%
EM0001_00_0,Rathian,500,RW004,Target Rewards,-1,HIGH,102,Rathian Scale+,1,23%
EM0001_00_0,Rathian,500,RW004,Target Rewards,-1,HIGH,104,Rathian Webbing,1,33%
EM0001_00_0,Rathian,500,RW004,Target Rewards,-1,HIGH,106,Rathian Ruby,1,100%
EM0001_00_0,Rathian,501,RW004,Target Rewards,-1,HIGH,102,Rathian Scale+,1,20%
EM0001_00_0,Rathian,501,RW004,Target Rewards,-1,HIGH,103,Rathian Carapace,1,23%
EM0001_00_0,Rathian,501,RW004,Target Rewards,-1,HIGH,105,Rathian Spike+,1,21%
EM0001_00_0,Rathian,502,RW004,Target Rewards,-1,HIGH,103,Rathian Carapace,1,20%
EM0001_00_0,Rathian,502,RW004,Target Rewards,-1,HIGH,104,Rathian Webbing,1,16%
EM0001_00_0,Rathian,502,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,21%
EM0001_00_0,Rathian,503,RW004,Target Rewards,-1,HIGH,104,Rathian Webbing,1,15%
EM0001_00_0,Rathian,503,RW004,Target Rewards,-1,HIGH,105,Rathian Spike+,1,10%
EM0001_00_0,Rathian,503,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,2,18%
EM0001_00_0,Rathian,504,RW004,Target Rewards,-1,HIGH,105,Rathian Spike+,1,8%
EM0001_00_0,Rathian,504,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,10%
EM0001_00_0,Rathian,504,RW004,Target Rewards,-1,HIGH,106,Rathian Ruby,1,7%
EM0001_00_0,Rathian,505,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,8%
EM0001_00_0,Rathian,505,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,1,15%
EM0001_00_0,Rathian,506,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,1,18%
EM0001_00_0,Rathian,506,RW004,Target Rewards,-1,HIGH,106,Rathian Ruby,1,3%
EM0001_00_0,Rathian,507,RW004,Target Rewards,-1,HIGH,106,Rathian Ruby,1,3%
EM0001_00_0,Rathian,600,RW015,Tempered Wound Destroyed Reward,-1,HIGH,700,Wyverian Bloodstone (S),1,65%
EM0001_00_0,Rathian,601,RW015,Tempered Wound Destroyed Reward,-1,HIGH,701,Wyverian Bloodstone,1,35%
EM0002_00_0,Rathalos,100,RW000,Carving,-1,HIGH,556,Rathalos Scale+,1,30%
EM0002_00_0,Rathalos,101,RW000,Carving,-1,HIGH,557,Rathalos Carapace,1,23%
EM0002_00_0,Rathalos,102,RW000,Carving,-1,HIGH,558,Rathalos Wing,1,18%
EM0002_00_0,Rathalos,103,RW000,Carving,-1,HIGH,559,Rathalos Tail,1,13%
EM0002_00_0,Rathalos,104,RW000,Carving,-1,HIGH,411,Rath Medulla,1,11%
EM0002_00_0,Rathalos,105,RW000,Carving,-1,HIGH,560,Rathalos Ruby,1,5%
EM0002_00_0,Rathalos,150,RW008,Carving (Rotten Monster Carcass),-1,HIGH,556,Rathalos Scale+,1,40%
EM0002_00_0,Rathalos,151,RW008,Carving (Rotten Monster Carcass),-1,HIGH,557,Rathalos Carapace,1,30%
EM0002_00_0,Rathalos,152,RW008,Carving (Rotten Monster Carcass),-1,HIGH,594,Inferno Sac,1,30%
EM0002_00_0,Rathalos,200,RW001,Carving (Severed Part),-1,HIGH,559,Rathalos Tail,1,80%
EM0002_00_0,Rathalos,201,RW001,Carving (Severed Part),-1,HIGH,411,Rath Medulla,1,13%
EM0002_00_0,Rathalos,202,RW001,Carving (Severed Part),-1,HIGH,560,Rathalos Ruby,1,7%
EM0002_00_0,Rathalos,250,RW012,Carving (Rotten Severed Part),-1,HIGH,556,Rathalos Scale+,1,60%
EM0002_00_0,Rathalos,251,RW012,Carving (Rotten Severed Part),-1,HIGH,559,Rathalos Tail,1,40%
EM0002_00_0,Rathalos,300,RW005,Broken Part Rewards,1,HIGH,558,Rathalos Wing,1,100%
EM0002_00_0,Rathalos,310,RW005,Broken Part Rewards,2,HIGH,558,Rathalos Wing,1,100%
EM0002_00_0,Rathalos,400,RW006,Wound Destroyed Reward,-1,HIGH,556,Rathalos Scale+,1,50%
EM0002_00_0,Rathalos,401,RW006,Wound Destroyed Reward,-1,HIGH,557,Rathalos Carapace,1,50%
EM0002_00_0,Rathalos,500,RW004,Target Rewards,-1,HIGH,561,Rathalos Certificate S,1,8%
EM0002_00_0,Rathalos,500,RW004,Target Rewards,-1,HIGH,556,Rathalos Scale+,1,23%
EM0002_00_0,Rathalos,500,RW004,Target Rewards,-1,HIGH,558,Rathalos Wing,1,33%
EM0002_00_0,Rathalos,500,RW004,Target Rewards,-1,HIGH,560,Rathalos Ruby,1,100%
EM0002_00_0,Rathalos,501,RW004,Target Rewards,-1,HIGH,556,Rathalos Scale+,1,20%
EM0002_00_0,Rathalos,501,RW004,Target Rewards,-1,HIGH,557,Rathalos Carapace,1,23%
EM0002_00_0,Rathalos,501,RW004,Target Rewards,-1,HIGH,559,Rathalos Tail,1,21%
EM0002_00_0,Rathalos,502,RW004,Target Rewards,-1,HIGH,557,Rathalos Carapace,1,20%
EM0002_00_0,Rathalos,502,RW004,Target Rewards,-1,HIGH,558,Rathalos Wing,1,16%
EM0002_00_0,Rathalos,502,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,21%
EM0002_00_0,Rathalos,503,RW004,Target Rewards,-1,HIGH,558,Rathalos Wing,1,15%
EM0002_00_0,Rathalos,503,RW004,Target Rewards,-1,HIGH,559,Rathalos Tail,1,10%
EM0002_00_0,Rathalos,503,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,2,18%
EM0002_00_0,Rathalos,504,RW004,Target Rewards,-1,HIGH,559,Rathalos Tail,1,8%
EM0002_00_0,Rathalos,504,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,10%
EM0002_00_0,Rathalos,504,RW004,Target Rewards,-1,HIGH,560,Rathalos Ruby,1,7%
EM0002_00_0,Rathalos,505,RW004,Target Rewards,-1,HIGH,411,Rath Medulla,1,8%
EM0002_00_0,Rathalos,505,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,1,15%
EM0002_00_0,Rathalos,506,RW004,Target Rewards,-1,HIGH,594,Inferno Sac,1,18%
EM0002_00_0,Rathalos,506,RW004,Target Rewards,-1,HIGH,560,Rathalos Ruby,1,3%
EM0002_00_0,Rathalos,508,RW004,Target Rewards,-1,HIGH,560,Rathalos Ruby,1,3%
EM0002_00_0,Rathalos,600,RW015,Tempered Wound Destroyed Reward,-1,HIGH,700,Wyverian Bloodstone (S),1,45%
EM0002_00_0,Rathalos,601,RW015,Tempered Wound Destroyed Reward,-1,HIGH,701,Wyverian Bloodstone,1,35%
EM0002_00_0,Rathalos,602,RW015,Tempered Wound Destroyed Reward,-1,HIGH,702,Wyverian Bloodstone (L),1,20%
EM0002_50_0,Guardian Rathalos,100,RW000,Carving,-1,LOW,400,Guardian Rathalos Scale,1,33%
EM0002_50_0,Guardian Rathalos,101,RW000,Carving,-1,LOW,401,Guardian Rathalos Shell,1,27%
EM0002_50_0,Guardian Rathalos,102,RW000,Carving,-1,LOW,402,Guardian Rathalos Webbing,1,22%
EM0002_50_0,Guardian Rathalos,103,RW000,Carving,-1,LOW,403,Guardian Rathalos Tail,1,13%
EM0002_50_0,Guardian Rathalos,104,RW000,Carving,-1,LOW,706,Guardian Rathalos Plate,1,5%
