ID Raw,ID,Name Raw,Name,Description Raw,Description,Sort ID Raw,Sort ID,Type Raw,Type,Item Group Raw,Item Group,Text Type Raw,Text Type,Icon Type Raw,Icon Type,Icon,Equip Icon Raw,Equip Icon,Icon Colour Raw,Icon Colour,Add Icon Type Raw,Add Icon Type,Rarity Raw,Rarity,Max Count Raw,Max Count,Palico Max Raw,Palico Max,Enable On Raptor Raw,Enable On Raptor,Sell Price Raw,Sell Price,Buy Price Raw,Buy Price,Fix Raw,Fixed,Shikyu Raw,Shikyu,Eatable Raw,Eatable,Window Raw,Window,Infinit Raw,Infinite,Heal Raw,Heal,Battle Raw,Battle,Special Raw,Special,For money Raw,For Money,Out Box Raw,Out Box,Non Level Shell Raw,Non Level Shell,Column 30,Column 31,Get Rank 1 Raw,Get Rank 2 Raw,Get Rank 1,Get Rank 2,Column 34,Column 64
00000001,1,549D628C-580F-45E0-ACD3-AA8CA8923649,---,8D2DBA3D-DEB4-425D-9329-3F0D89CBFB51,---,00000000,0,00000000,EXPENDABLE,00000000,INVALID,00000000,INVALID,00000001,ITEM_0000,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,00000012,1,000A,10,000A,10,00000000,FALSE,0000000A,10z,00000064,100z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000004,4
00000002,2,BBF28943-461D-45A7-B621-508EEC82CB54,Potion,883BCB29-3EAA-4C00-BBD5-2959B453858F,Restores a small amount of health.,00000002,2,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000A,ITEM_0009,,00000000,INVALID,0000000E,I_GREEN,00000000,INVALID,00000012,1,000A,10,000A,10,00000001,TRUE,00000008,8z,00000042,66z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000005,5
00000003,3,A9FD4CEB-360C-44ED-A134-07E872DEE9E5,Mega Potion,86BD7296-8DCF-42C2-B817-E04E9EF70A31,"Restores a moderate amount
of health.",00000002,2,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000A,ITEM_0009,,00000000,INVALID,0000000E,I_GREEN,00000001,GREAT,00000011,2,000A,10,000A,10,00000001,TRUE,00000010,16z,000000A5,165z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000000C,12
00000004,4,63C5F2E9-5BB8-4E9E-86B7-70658D9FFBBB,Antidote,91FC3848-6889-45BF-B6F9-16E90995F97D,A cure for poison.,00000008,8,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,00000047,ITEM_0070,,00000000,INVALID,00000011,I_BLUE,00000000,INVALID,00000012,1,000A,10,000A,10,00000001,TRUE,00000006,6z,0000003C,60z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000006,6
00000005,5,0DF7DF31-EF10-4C89-AFCA-9344809B346F,Max Potion,73CEBD02-8407-4272-B187-2F85FE53748A,"Fully restores health and
temporarily maximizes the
size of your Health Gauge.",00000003,3,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000D,ITEM_0012,,00000000,INVALID,0000000A,I_YELLOW,00000000,INVALID,00000010,3,0002,2,0002,2,00000001,TRUE,000000D2,210z,0000085A,"2,138z",00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000007,7
00000006,6,B2E18884-6699-4728-A10E-98BDC82C1808,Ancient Potion,E988F167-C305-44F0-9DD8-03F308CC53B8,"Fully restores health and
temporarily maximizes the size of
your Health and Stamina Gauges.",00000004,4,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000D,ITEM_0012,,00000000,INVALID,0000000A,I_YELLOW,00000001,GREAT,0000000E,5,0001,1,0001,1,00000001,TRUE,00000159,345z,00000D7E,"3,454z",00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000000E,14
00000007,7,0B0279D4-6E8E-4E13-954F-438813B9732B,Nulberry,9E6FC9DC-9D9E-4B76-8C93-C408516EBAE5,"A mysterious berry that cures various
blights.",0000000A,10,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,00000025,ITEM_0036,,00000000,INVALID,00000011,I_BLUE,00000000,INVALID,00000011,2,000A,10,000A,10,00000001,TRUE,00000078,120z,000004B0,"1,200z",00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000009,9
00000008,8,718CF415-2A1D-4FD0-B549-64D4FBF9111C,Ration,A3FABF1E-86DC-4F93-8018-7F43DDB4FF08,"Food that restores a bit of stamina.
It can also be used on the Portable
BBQ Grill to have a meal.",00000005,5,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000F,ITEM_0014,,00000000,INVALID,00000008,I_BROWN,00000000,INVALID,00000012,1,000A,10,000A,10,00000001,TRUE,00000003,3z,0000001E,30z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000008,8
00000009,9,A977C8E2-94BE-4E32-992A-5D723DCAAC5F,Well-done Steak,221CFB82-650E-4E9F-8C9B-0F3757BE175B,"A hearty roast that restores health
and stamina and boosts both their
max gauges. So tasty!",00000005,5,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000F,ITEM_0014,,00000000,INVALID,00000007,I_ORANGE,00000000,INVALID,00000011,2,0005,5,0005,5,00000001,TRUE,00000030,48z,00000060,96z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000000A,10
0000000A,10,21C8EFA7-0C4A-4251-8FAB-1881CF5A30B2,Rare Steak,AD30B820-AFF7-47F4-8B73-D45FD1EAD763,"Restores health and stamina and
moderately increases the size
of your Health Gauge temporarily.",00000006,6,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000F,ITEM_0014,,00000000,INVALID,00000009,I_IVORY,00000000,INVALID,00000012,1,000A,10,000A,10,00000001,TRUE,00000003,3z,0000001E,30z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000000B,11
