Index Raw,Recipe Number Raw,ID Raw,Key Item Raw,Key Monster Raw,Key Story Raw,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,Number 1 Raw,Number 2 Raw,Number 3 Raw,Number 4 Raw,Can Shortcut Raw,Index,Recipe Number,ID,Name,Uprades From,Key Item,Key Monster,Key Story,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4,Can Shortcut
00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0,0,1,Hope Blade I,,,-,00000000,,,,,,,,,FALSE
00000001,00000001,00000002,00000000,00000000,00000000,00000035,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,1,1,2,Hope Blade II,Hope Blade I,,-,00000000,Iron Ore,2,,,,,,,FALSE
00000002,00000002,00000003,00000000,00000000,86FD6D00,00000037,00000036,00000000,00000000,00000003,00000002,00000000,00000000,00000000,2,2,3,Hope Blade III,Hope Blade II,,-,86FD6D00,Dragonite Ore,3,Machalite Ore,2,,,,,FALSE
00000003,00000003,00000004,00000000,00000000,65760700,00000038,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,3,3,4,Hope Blade IV,Hope Blade III,,-,65760700,Carbalite Ore,4,,,,,,,FALSE
00000004,00000004,00000005,00000000,00000000,0D846690,00000290,00000246,00000000,00000000,00000004,00000005,00000000,00000000,00000000,4,4,5,Hope Blade V,Hope Blade IV,,-,0D846690,Monster Hardbone,4,Fucium Ore,5,,,,,FALSE
00000005,00000005,0000004C,00000000,2C864480,00000000,00000293,00000216,00000000,00000000,00000005,00000001,00000000,00000000,00000000,5,5,76,Esperanza Blade,Hope Blade V,,Arkveld,00000000,Hunter Symbol I,5,Bird Wyvern Gem,1,,,,,FALSE
00000006,00000006,00000027,00000000,00000000,00000000,0000003A,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,6,6,39,Bone Blade I,,,-,00000000,Mystery Bone,2,,,,,,,FALSE
00000007,00000007,00000028,00000000,00000000,E00F49A0,0000003B,000001E9,00000000,00000000,00000002,00000001,00000000,00000000,00000000,7,7,40,Bone Blade II,Bone Blade I,,-,E00F49A0,Sturdy Bone,2,Monster Fluid,1,,,,,FALSE
00000008,00000008,00000029,00000000,00000000,B89E2700,0000024C,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,8,8,41,Bone Blade III,Bone Blade II,,-,B89E2700,Tough Guardian Bone,2,,,,,,,FALSE
00000009,00000009,0000002A,00000000,00000000,85F88180,00000292,0000003D,00000000,00000000,00000004,00000002,00000000,00000000,00000000,9,9,42,Bone Blade IV,Bone Blade III,,-,85F88180,Great Stoutbone,4,Colossal Bone,2,,,,,FALSE
0000000A,0000000A,0000002B,00000000,2C864480,00000000,00000293,00000290,0000003E,00000025,00000005,00000005,00000001,00000001,00000000,10,10,43,Bone Slasher,Bone Blade IV,,Arkveld,00000000,Hunter Symbol I,5,Monster Hardbone,5,Dragonbone Relic,1,Beast Gem,1,FALSE
0000000B,0000000B,00000016,00000000,00000000,E00F49A0,00000036,00000039,00000000,00000000,00000001,00000002,00000000,00000000,00000000,11,11,22,Buster Sword I,Hope Blade II,,-,E00F49A0,Machalite Ore,1,Earth Crystal,2,,,,,FALSE
0000000C,0000000C,00000017,00000000,00000000,B89E2700,00000242,00000247,00000000,00000000,00000001,00000002,00000000,00000000,00000000,12,12,23,Buster Sword II,Buster Sword I,,-,B89E2700,Lightcrystal,1,Icium,2,,,,,FALSE
0000000D,0000000D,00000018,00000000,00000000,85F88180,00000246,000002BA,0000028F,00000000,00000004,00000003,00000003,00000000,00000000,13,13,24,Buster Sword III,Buster Sword II,,-,85F88180,Fucium Ore,4,Gracium,3,Monster Keenbone,3,,,FALSE
0000000E,0000000E,00000019,00000000,2C864480,00000000,00000293,00000243,0000005C,00000000,00000005,00000001,00000001,00000000,00000000,14,14,25,Ravager Blade,Buster Sword III,,Arkveld,00000000,Hunter Symbol I,5,Novacrystal,1,Wyvern Gem,1,,,FALSE
0000000F,0000000F,0000000F,00000000,FDEAE550,00000000,00000058,0000012B,0000005A,00000000,00000003,00000002,00000001,00000000,00000000,15,15,15,Quematrice Espada I,Hope Blade I,,Quematrice,00000000,Quematrice Scale,3,Quematrice Igniter,2,Quematrice Crest,1,,,FALSE
00000010,00000010,00000010,00000000,21D55200,00000000,00000244,0000005B,00000037,00000000,00000001,00000001,00000001,00000000,00000000,16,16,16,Quematrice Espada II,Quematrice Espada I,,Rompopolo,00000000,Firestone,1,Quematrice Tail,1,Dragonite Ore,1,,,FALSE
00000011,00000011,00000011,00000000,00000000,65760700,00000131,0000012F,00000130,00000000,00000002,00000005,00000003,00000000,00000001,17,17,17,Quematrice Espada III,Quematrice Espada II,,-,65760700,Quematrice Certificate S,2,Quematrice Igniter+,5,Quematrice Crest+,3,,,TRUE
00000012,00000012,00000012,00000185,00000000,00000000,00000185,0000012E,00000252,0000005C,00000003,00000006,00000005,00000001,00000000,18,18,18,Quematrice Espada IV,Quematrice Espada III,Nu Udra Certificate S,-,00000000,Nu Udra Certificate S,3,Quematrice Hide+,6,Inferno Sac,5,Wyvern Gem,1,FALSE
00000013,00000013,00000013,00000000,2C864480,00000000,00000293,0000012D,00000184,00000000,00000005,00000006,00000001,00000000,00000000,19,19,19,Firetrail Blaisdell,Quematrice Espada IV,,Arkveld,00000000,Hunter Symbol I,5,Quematrice Scale+,6,Nu Udra Flamegem,1,,,FALSE
00000014,00000014,00000032,00000000,0000000F,00000000,00000022,00000023,00000024,00000000,00000003,00000002,00000001,00000000,00000000,20,20,50,Dosha Fellslayer I,Bone Blade I,,Doshaguma,00000000,Doshaguma Fur,3,Doshaguma Claw,2,Doshaguma Fang,1,,,FALSE
00000015,00000015,00000033,00000000,00000000,D9C1E4C0,00000188,00000021,0000024C,00000000,00000001,00000003,00000001,00000000,00000000,21,21,51,Dosha Fellslayer II,Dosha Fellslayer I,,-,D9C1E4C0,Guardian Doshaguma Claw,1,Doshaguma Hide,3,Tough Guardian Bone,1,,,FALSE
00000016,00000016,00000034,00000141,00000000,00000000,00000141,0000013F,00000140,00000000,00000002,00000006,00000004,00000000,00000000,22,22,52,Dosha Fellslayer III,Dosha Fellslayer II,Doshaguma Certificate S,-,00000000,Doshaguma Certificate S,2,Doshaguma Claw+,6,Doshaguma Fang+,4,,,FALSE
00000017,00000017,00000050,00000000,2C864480,00000000,00000294,0000013E,00000025,00000000,00000005,00000006,00000001,00000000,00000000,23,23,80,Fellslayer Dangeom,Dosha Fellslayer III,,Arkveld,00000000,Hunter Symbol II,5,Doshaguma Hide+,6,Beast Gem,1,,,FALSE
00000018,00000018,00000021,00000000,AEBC9E00,00000000,00000201,00000203,0000025D,00000000,00000003,00000002,00000001,00000000,00000000,24,24,33,Immane Blade I,Bone Blade II,,Nerscylla,00000000,Nerscylla Shell,3,Nerscylla Claw,2,Sleep Sac,1,,,FALSE
00000019,00000019,00000022,00000209,00000000,00000000,00000209,00000207,0000025E,00000000,00000001,00000003,00000003,00000000,00000001,25,25,34,Immane Blade II,Immane Blade I,Nerscylla Certificate S,-,00000000,Nerscylla Certificate S,1,Nerscylla Claw+,3,Coma Sac,3,,,TRUE
0000001A,0000001A,00000023,000001A9,00000000,00000000,000001A9,00000208,000001E0,000001EA,00000003,00000005,00000002,00000003,00000000,26,26,35,Immane Blade III,Immane Blade II,Jin Dahaad Certificate S,-,00000000,Jin Dahaad Certificate S,3,Nerscylla Spike+,5,Nerscylla Shear,2,Monster Broth,3,FALSE
0000001B,0000001B,00000024,00000000,2C864480,00000000,00000293,00000206,00000216,00000000,00000005,00000006,00000001,00000000,00000000,27,27,36,Immolator Blade,Immane Blade III,,Arkveld,00000000,Hunter Symbol I,5,Nerscylla Carapace,6,Bird Wyvern Gem,1,,,FALSE
0000001C,0000001C,0000002C,00000000,62CFB100,00000000,00000178,00000179,0000017C,00000000,00000003,00000002,00000001,00000000,00000000,28,28,44,Nu Krake I,Bone Blade II,,Nu Udra,00000000,Nu Udra Hide,3,Nu Udra Spike,2,Nu Udra Oilmucus,1,,,FALSE
0000001D,0000001D,0000002D,00000185,00000000,00000000,00000185,00000180,00000183,0000017D,00000003,00000005,00000004,00000001,00000000,29,29,45,Nu Krake II,Nu Krake I,Nu Udra Certificate S,-,00000000,Nu Udra Certificate S,3,Nu Udra Spike+,5,Nu Udra Oilmucus+,4,Nu Udra Cerebrospinal Fluid,1,FALSE
0000001E,0000001E,0000002E,00000000,2C864480,00000000,00000295,00000182,00000181,00000184,00000005,00000006,00000004,00000001,00000000,30,30,46,Abaddonian Krake,Nu Krake II,,Arkveld,00000000,Hunter Symbol III,5,Nu Udra Tentacle+,6,Nu Udra Horn+,4,Nu Udra Flamegem,1,FALSE
0000001F,0000001F,00000035,00000000,00000000,D9C1E4C0,00000186,00000188,00000189,00000000,00000003,00000002,00000001,00000000,00000000,31,31,53,Dosha Grimslayer I,Dosha Fellslayer I,,-,D9C1E4C0,Guardian Doshaguma Fur,3,Guardian Doshaguma Claw,2,Guardian Doshaguma Fang,1,,,FALSE
00000020,00000020,00000036,0000018F,00000000,00000000,0000018F,0000018D,0000018E,00000260,00000002,00000006,00000004,00000001,00000001,32,32,54,Dosha Grimslayer II,Dosha Grimslayer I,G. Doshaguma Certificate S,-,00000000,G. Doshaguma Certificate S,2,Guardian Doshaguma Claw+,6,Guardian Doshaguma Fang+,4,Guardian Blood+,1,TRUE
00000021,00000021,00000037,00000000,2C864480,00000000,00000294,0000018B,00000299,00000025,00000005,00000006,00000006,00000001,00000000,33,33,55,Grimslayer Urgeom,Dosha Grimslayer II,,Arkveld,00000000,Hunter Symbol II,5,Guardian Doshaguma Fur+,6,Guardian Pelt+,6,Beast Gem,1,FALSE
00000022,00000022,0000001C,00000000,00000000,D9C1E4C0,00000190,00000192,00000251,00000000,00000003,00000002,00000001,00000000,00000000,34,34,28,Albirath Wing I,Hope Blade III,,-,D9C1E4C0,Guardian Rathalos Scale,3,Guardian Rathalos Webbing,2,Flame Sac,1,,,FALSE
00000023,00000023,0000001D,0000019A,00000000,00000000,0000019A,00000198,000002C2,00000260,00000002,00000005,00000001,00000001,00000000,35,35,29,Albirath Wing II,Albirath Wing I,G. Rathalos Certificate S,-,00000000,G. Rathalos Certificate S,2,Guardian Rathalos Wing,5,Guardian Rathalos Plate,1,Guardian Blood+,1,FALSE
00000024,00000024,0000001E,00000000,2C864480,00000000,00000294,00000197,000002C1,000001C7,00000005,00000006,00000001,00000006,00000000,36,36,30,Whitefire Rathguard,Albirath Wing II,,Arkveld,00000000,Hunter Symbol II,5,Guardian Rathalos Carapace,6,Guardian Rathalos Ruby,1,Guardian Scale+,6,FALSE
00000025,00000025,0000001A,00000000,00000000,0D846690,000001A9,000001A6,000001A5,000002C3,00000001,00000005,00000004,00000001,00000000,37,37,26,Jin Dhavaar I,Buster Sword III,,-,0D846690,Jin Dahaad Certificate S,1,Jin Dahaad Claw+,5,Jin Dahaad Iceplate,4,Jin Dahaad Tail,1,FALSE
00000026,00000026,0000001B,00000000,2C864480,00000000,00000295,000001A7,000001A4,000001A8,00000005,00000004,00000004,00000001,00000000,38,38,27,Precipice Metallam,Jin Dhavaar I,,Arkveld,00000000,Hunter Symbol III,5,Jin Dahaad Horn,4,Jin Dahaad Carapace,4,Jin Dahaad Icegem,1,FALSE
00000027,00000027,0000000C,00000000,538EBC80,00000000,000001B8,000001BB,000001BC,00000000,00000003,00000002,00000001,00000000,00000000,39,39,12,Nihil Great Sword I,Immane Blade I,,Xu Wu,00000000,Xu Wu Hide,3,Xu Wu Claw,2,Xu Wu Fang,1,,,FALSE
00000028,00000028,0000000D,0000012A,00000000,00000000,0000012A,000001C2,000001C3,000001BD,00000002,00000006,00000004,00000001,00000001,40,40,13,Nihil Great Sword II,Nihil Great Sword I,Xu Wu Certificate S,-,00000000,Xu Wu Certificate S,2,Xu Wu Claw+,6,Xu Wu Fang+,4,Xu Wu Cerebrospinal Fluid,1,TRUE
00000029,00000029,0000000E,00000000,2C864480,00000000,00000294,000001C0,000001C1,000001C4,00000005,00000006,00000004,00000001,00000000,41,41,14,Prinvrilo's Dissolution,Nihil Great Sword II,,Arkveld,00000000,Hunter Symbol II,5,Golden Corneum+,6,Xu Wu Tentacle+,4,Xu Wu Umbragem,1,FALSE
0000002A,0000002A,0000003A,00000000,EF17C700,00000000,000001C6,00000298,0000025F,0000024C,00000003,00000003,00000001,00000002,00000000,42,42,58,G. Veldian Gladius I,Dosha Fellslayer I,,Guardian Arkveld,00000000,Guardian Scale,3,Guardian Pelt,3,Guardian Blood,1,Tough Guardian Bone,2,FALSE
0000002B,0000002B,0000003B,00000000,00000000,85F88180,000001C7,00000299,00000260,0000003E,00000006,00000006,00000003,00000001,00000000,43,43,59,G. Veldian Gladius II,G. Veldian Gladius I,,-,85F88180,Guardian Scale+,6,Guardian Pelt+,6,Guardian Blood+,3,Dragonbone Relic,1,FALSE
0000002C,0000002C,0000003C,00000000,2C864480,00000000,00000295,000001CF,000001C8,000001D1,00000005,00000004,00000002,00000001,00000000,44,44,60,G. Stalwart Lamorak,G. Veldian Gladius II,,Arkveld,00000000,Hunter Symbol III,5,Arkveld Calloushell,4,Arkveld Tail,2,Arkveld Gem,1,FALSE
0000002D,0000002D,00000009,00000000,17F6E620,00000000,0000020F,0000020E,0000020C,0000020A,00000001,00000003,00000002,00000005,00000000,45,45,9,Chicken Decapitator I,,,Yian Kut-Ku,00000000,Yian Kut-Ku Certificate S,1,Kut-Ku Wing,3,Kut-Ku Ear,2,Kut-Ku Scale+,5,FALSE
0000002E,0000002E,0000000A,00000185,00000000,00000000,00000185,0000020D,00000252,00000216,00000002,00000004,00000004,00000001,00000000,46,46,10,Chicken Decapitator II,Chicken Decapitator I,Nu Udra Certificate S,-,00000000,Nu Udra Certificate S,2,Giant Beak,4,Inferno Sac,4,Bird Wyvern Gem,1,FALSE
0000002F,0000002F,0000000B,00000000,2C864480,00000000,00000293,0000020B,00000184,00000000,00000005,00000006,00000001,00000000,00000000,47,47,11,Rooster Decapitator,Chicken Decapitator II,,Arkveld,00000000,Hunter Symbol I,5,Kut-Ku Carapace,6,Nu Udra Flamegem,1,,,FALSE
