Index Raw,Recipe Number Raw,ID Raw,Key Item Raw,Key Monster Raw,Key Story Raw,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,Number 1 Raw,Number 2 Raw,Number 3 Raw,Number 4 Raw,Can Shortcut Raw,Index,Recipe Number,ID,Name,Uprades From,Key Item,Key Monster,Key Story,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4,Can Shortcut
00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0,0,1,Hope Horn I,,,-,00000000,,,,,,,,,FALSE
00000001,00000001,00000002,00000000,00000000,00000000,00000035,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,1,1,2,Hope Horn II,Hope Horn I,,-,00000000,Iron Ore,2,,,,,,,FALSE
00000002,00000002,00000003,00000000,00000000,86FD6D00,00000037,00000036,00000000,00000000,00000003,00000002,00000000,00000000,00000000,2,2,3,Hope Horn III,Hope Horn II,,-,86FD6D00,Dragonite Ore,3,Machalite Ore,2,,,,,FALSE
00000003,00000003,00000004,00000000,00000000,65760700,00000038,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,3,3,4,Hope Horn IV,Hope Horn III,,-,65760700,Carbalite Ore,4,,,,,,,FALSE
00000004,00000004,00000005,00000000,00000000,0D846690,00000290,00000246,00000000,00000000,00000004,00000005,00000000,00000000,00000000,4,4,5,Hope Horn V,Hope Horn IV,,-,0D846690,Monster Hardbone,4,Fucium Ore,5,,,,,FALSE
00000006,00000006,00000006,00000000,00000000,00000000,0000003A,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,6,6,6,Bone Horn I,,,-,00000000,Mystery Bone,2,,,,,,,FALSE
00000007,00000007,00000007,00000000,00000000,E00F49A0,0000003B,000001E9,00000000,00000000,00000002,00000001,00000000,00000000,00000000,7,7,7,Bone Horn II,Bone Horn I,,-,E00F49A0,Sturdy Bone,2,Monster Fluid,1,,,,,FALSE
00000008,00000008,00000008,00000000,00000000,B89E2700,0000024C,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,8,8,8,Bone Horn III,Bone Horn II,,-,B89E2700,Tough Guardian Bone,2,,,,,,,FALSE
00000009,00000009,00000009,00000000,00000000,85F88180,00000292,0000003D,00000000,00000000,00000004,00000002,00000000,00000000,00000000,9,9,9,Bone Horn IV,Bone Horn III,,-,85F88180,Great Stoutbone,4,Colossal Bone,2,,,,,FALSE
0000000A,0000000A,0000000A,00000000,2C864480,00000000,00000293,00000290,0000003E,00000025,00000005,00000005,00000001,00000001,00000000,10,10,10,Hardened Bone Horn,Bone Horn IV,,Arkveld,00000000,Hunter Symbol I,5,Monster Hardbone,5,Dragonbone Relic,1,Beast Gem,1,FALSE
0000000B,0000000B,0000000B,00000000,00000000,E00F49A0,00000036,00000039,00000000,00000000,00000001,00000002,00000000,00000000,00000000,11,11,11,Metal Bagpipe I,Hope Horn II,,-,E00F49A0,Machalite Ore,1,Earth Crystal,2,,,,,FALSE
0000000C,0000000C,0000000C,00000000,00000000,B89E2700,00000242,00000247,00000000,00000000,00000001,00000002,00000000,00000000,00000000,12,12,12,Metal Bagpipe II,Metal Bagpipe I,,-,B89E2700,Lightcrystal,1,Icium,2,,,,,FALSE
0000000D,0000000D,0000000D,00000000,00000000,85F88180,00000246,000002BA,0000028F,00000000,00000004,00000003,00000003,00000000,00000000,13,13,13,Metal Bagpipe III,Metal Bagpipe II,,-,85F88180,Fucium Ore,4,Gracium,3,Monster Keenbone,3,,,FALSE
0000000E,0000000E,0000000E,00000000,2C864480,00000000,00000293,00000243,0000005C,00000000,00000005,00000001,00000001,00000000,00000000,14,14,14,Great Bagpipe,Metal Bagpipe III,,Arkveld,00000000,Hunter Symbol I,5,Novacrystal,1,Wyvern Gem,1,,,FALSE
0000000F,0000000F,0000000F,00000000,AA284680,00000000,000001F8,000001F9,000001FA,00000000,00000003,00000002,00000001,00000000,00000000,15,15,15,War Bongo I,Bone Horn I,,Congalala,00000000,Congalala Pelt,3,Congalala Claw,2,Congalala Fang,1,,,FALSE
00000010,00000010,00000010,00000000,00000000,65760700,00000249,000001FE,000001FF,0000023C,00000001,00000005,00000004,00000002,00000001,16,16,16,War Bongo II,War Bongo I,,-,65760700,Congalala Certificate S,1,Congalala Claw+,5,Congalala Fang+,4,Conga Pelt+,2,TRUE
00000011,00000011,00000011,00000000,2C864480,00000000,00000293,00000200,00000025,00000000,00000005,00000002,00000001,00000000,00000000,17,17,17,War Conga,War Bongo II,,Arkveld,00000000,Hunter Symbol I,5,Vibrant Pelt+,2,Beast Gem,1,,,FALSE
00000012,00000012,00000012,00000000,00000010,00000000,00000051,00000052,00000253,00000000,00000003,00000001,00000001,00000000,00000000,18,18,18,Balahara Horn I,Hope Horn II,,Balahara,00000000,Balahara Scale,3,Balahara Skull,1,Aqua Sac,1,,,FALSE
00000013,00000013,00000013,00000000,00000000,D9C1E4C0,00000188,00000050,00000053,00000000,00000001,00000002,00000001,00000000,00000000,19,19,19,Balahara Horn II,Balahara Horn I,,-,D9C1E4C0,Guardian Doshaguma Claw,1,Balahara Shell,2,Balahara Tail,1,,,FALSE
00000014,00000014,00000014,0000013B,00000000,00000000,0000013B,0000013A,00000254,000002C0,00000002,00000002,00000002,00000001,00000001,20,20,20,Balahara Horn III,Balahara Horn II,Balahara Certificate S,-,00000000,Balahara Certificate S,2,Balahara Skull+,2,Torrent Sac,2,Balahara Black Pearl,1,TRUE
00000015,00000015,00000015,0000014F,00000000,00000000,0000014F,00000139,0000005C,00000000,00000003,00000005,00000001,00000000,00000000,21,21,21,Balahara Horn IV,Balahara Horn III,Uth Duna Certificate S,-,00000000,Uth Duna Certificate S,3,Balahara Carapace,5,Wyvern Gem,1,,,FALSE
00000016,00000016,00000016,00000000,2C864480,00000000,00000293,00000138,0000014E,00000000,00000005,00000006,00000001,00000000,00000000,22,22,22,Sandsea Ghantisil,Balahara Horn IV,,Arkveld,00000000,Hunter Symbol I,5,Balahara Scale+,6,Uth Duna Watergem,1,,,FALSE
00000017,00000017,00000017,00000000,0000000F,00000000,00000022,00000023,00000024,00000000,00000003,00000002,00000001,00000000,00000000,23,23,23,Dosha Farsounder I,Bone Horn I,,Doshaguma,00000000,Doshaguma Fur,3,Doshaguma Claw,2,Doshaguma Fang,1,,,FALSE
00000018,00000018,00000018,00000000,00000000,D9C1E4C0,00000188,00000021,0000024C,00000000,00000001,00000003,00000001,00000000,00000000,24,24,24,Dosha Farsounder II,Dosha Farsounder I,,-,D9C1E4C0,Guardian Doshaguma Claw,1,Doshaguma Hide,3,Tough Guardian Bone,1,,,FALSE
00000019,00000019,00000019,00000141,00000000,00000000,00000141,0000013F,00000140,00000000,00000002,00000006,00000004,00000000,00000000,25,25,25,Dosha Farsounder III,Dosha Farsounder II,Doshaguma Certificate S,-,00000000,Doshaguma Certificate S,2,Doshaguma Claw+,6,Doshaguma Fang+,4,,,FALSE
0000001B,0000001B,0000001A,00000000,A3C51700,00000000,0000008B,0000008E,0000008D,00000000,00000003,00000002,00000001,00000000,00000000,27,27,26,Rey Perun I,Balahara Horn I,,Rey Dau,00000000,Rey Dau Scale,3,Rey Dau Wingtalon,2,Rey Dau Thunderhorn,1,,,FALSE
0000001C,0000001C,0000001B,00000000,0000001A,00000000,00000218,00000068,00000243,00000000,00000002,00000003,00000001,00000000,00000000,28,28,27,Rey Perun II,Rey Perun I,,Rathian,00000000,Rathian Certificate S,2,Rathian Webbing,3,Novacrystal,1,,,FALSE
0000001D,0000001D,0000001C,00000160,00000000,00000000,00000160,0000015E,0000008F,00000090,00000003,00000004,00000001,00000001,00000000,29,29,28,Rey Perun III,Rey Perun II,Rey Dau Certificate S,-,00000000,Rey Dau Certificate S,3,Rey Dau Fulgurtalon,4,Rey Dau Tail,1,Rey Dau Plate,1,FALSE
0000001E,0000001E,0000001D,00000000,2C864480,00000000,00000295,0000015C,0000015D,0000015F,00000005,00000006,00000004,00000001,00000000,30,30,29,Perun Clairhorn,Rey Perun III,,Arkveld,00000000,Hunter Symbol III,5,Rey Dau Carapace,6,Rey Dau Bolthorn,4,Rey Dau Boltgem,1,FALSE
0000001F,0000001F,0000001E,00000000,2E571C80,00000000,0000016B,0000016D,0000016F,00000000,00000003,00000002,00000001,00000000,00000000,31,31,30,Ajara Reverberator I,Metal Bagpipe I,,Ajarakan,00000000,Ajarakan Scale,3,Ajarakan Ridge,2,Ajarakan Jewel,1,,,FALSE
00000020,00000020,0000001F,00000177,00000000,00000000,00000177,00000174,00000175,00000170,00000002,00000003,00000002,00000001,00000001,32,32,31,Ajara Reverberator II,Ajara Reverberator I,Ajarakan Certificate S,-,00000000,Ajarakan Certificate S,2,Ajarakan Ridge+,3,Ajarakan Jewel+,2,Ajarakan Marrow,1,TRUE
00000021,00000021,00000020,00000000,2C864480,00000000,00000294,00000173,00000176,00000000,00000005,00000006,00000001,00000000,00000000,33,33,32,Ajara-Jivaka,Ajara Reverberator II,,Arkveld,00000000,Hunter Symbol II,5,Ajarakan Carapace,6,Ajarakan Medulla,1,,,FALSE
00000022,00000022,00000021,00000000,00000000,D9C1E4C0,00000186,00000188,00000189,00000000,00000003,00000002,00000001,00000000,00000000,34,34,33,Dosha Grudgesounder I,Dosha Farsounder I,,-,D9C1E4C0,Guardian Doshaguma Fur,3,Guardian Doshaguma Claw,2,Guardian Doshaguma Fang,1,,,FALSE
00000023,00000023,00000022,0000018F,00000000,00000000,0000018F,0000018D,0000018E,00000260,00000002,00000006,00000004,00000001,00000001,35,35,34,Dosha Grudgesounder II,Dosha Grudgesounder I,G. Doshaguma Certificate S,-,00000000,G. Doshaguma Certificate S,2,Guardian Doshaguma Claw+,6,Guardian Doshaguma Fang+,4,Guardian Blood+,1,TRUE
00000024,00000024,00000023,00000000,2C864480,00000000,00000294,0000018B,00000299,00000025,00000005,00000006,00000006,00000001,00000000,36,36,35,Grudgesounder Urga,Dosha Grudgesounder II,,Arkveld,00000000,Hunter Symbol II,5,Guardian Doshaguma Fur+,6,Guardian Pelt+,6,Beast Gem,1,FALSE
00000025,00000025,00000024,00000000,00000000,D9C1E4C0,00000190,00000192,00000251,00000000,00000003,00000002,00000001,00000000,00000000,37,37,36,Albirath Feroce I,Hope Horn III,,-,D9C1E4C0,Guardian Rathalos Scale,3,Guardian Rathalos Webbing,2,Flame Sac,1,,,FALSE
00000026,00000026,00000025,0000019A,00000000,00000000,0000019A,00000198,000002C2,00000260,00000002,00000005,00000001,00000001,00000000,38,38,37,Albirath Feroce II,Albirath Feroce I,G. Rathalos Certificate S,-,00000000,G. Rathalos Certificate S,2,Guardian Rathalos Wing,5,Guardian Rathalos Plate,1,Guardian Blood+,1,FALSE
00000027,00000027,00000026,00000000,2C864480,00000000,00000294,00000197,000002C1,000001C7,00000005,00000006,00000001,00000006,00000000,39,39,38,G. Rathalos Feroce,Albirath Feroce II,,Arkveld,00000000,Hunter Symbol II,5,Guardian Rathalos Carapace,6,Guardian Rathalos Ruby,1,Guardian Scale+,6,FALSE
00000028,00000028,00000027,00000000,00000000,0D846690,000001A9,000001A6,000001A5,000002C3,00000001,00000005,00000004,00000001,00000000,40,40,39,Jin Dhaang I,Metal Bagpipe III,,-,0D846690,Jin Dahaad Certificate S,1,Jin Dahaad Claw+,5,Jin Dahaad Iceplate,4,Jin Dahaad Tail,1,FALSE
00000029,00000029,00000028,00000000,2C864480,00000000,00000295,000001A7,000001A4,000001A8,00000005,00000004,00000004,00000001,00000000,41,41,40,Precipice Kovira,Jin Dhaang I,,Arkveld,00000000,Hunter Symbol III,5,Jin Dahaad Horn,4,Jin Dahaad Carapace,4,Jin Dahaad Icegem,1,FALSE
0000002A,0000002A,00000029,00000000,538EBC80,00000000,000001B8,000001BB,000001BC,00000000,00000003,00000002,00000001,00000000,00000000,42,42,41,Nihil Chord I,Ajara Reverberator I,,Xu Wu,00000000,Xu Wu Hide,3,Xu Wu Claw,2,Xu Wu Fang,1,,,FALSE
0000002B,0000002B,0000002A,0000012A,00000000,00000000,0000012A,000001C2,000001C3,000001BD,00000002,00000006,00000004,00000001,00000000,43,43,42,Nihil Chord II,Nihil Chord I,Xu Wu Certificate S,-,00000000,Xu Wu Certificate S,2,Xu Wu Claw+,6,Xu Wu Fang+,4,Xu Wu Cerebrospinal Fluid,1,FALSE
0000002C,0000002C,0000002B,00000000,2C864480,00000000,00000294,000001C0,000001C1,000001C4,00000005,00000006,00000004,00000001,00000000,44,44,43,Kae-Jin's Lament,Nihil Chord II,,Arkveld,00000000,Hunter Symbol II,5,Golden Corneum+,6,Xu Wu Tentacle+,4,Xu Wu Umbragem,1,FALSE
0000002D,0000002D,0000002C,00000000,EF17C700,00000000,000001C6,00000298,0000025F,0000024C,00000003,00000003,00000001,00000002,00000000,45,45,44,G. Veldian Sibilus I,Dosha Farsounder I,,Guardian Arkveld,00000000,Guardian Scale,3,Guardian Pelt,3,Guardian Blood,1,Tough Guardian Bone,2,FALSE
0000002E,0000002E,0000002D,00000000,00000000,85F88180,000001C7,00000299,00000260,0000003E,00000006,00000006,00000003,00000001,00000000,46,46,45,G. Veldian Sibilus II,G. Veldian Sibilus I,,-,85F88180,Guardian Scale+,6,Guardian Pelt+,6,Guardian Blood+,3,Dragonbone Relic,1,FALSE
0000002F,0000002F,0000002E,00000000,2C864480,00000000,00000295,000001CF,000001C8,000001D1,00000005,00000004,00000002,00000001,00000000,47,47,46,G. Resounding Galahad,G. Veldian Sibilus II,,Arkveld,00000000,Hunter Symbol III,5,Arkveld Calloushell,4,Arkveld Tail,2,Arkveld Gem,1,FALSE
00000030,00000030,0000002F,00000000,17F6E620,00000000,0000020F,0000020E,0000020C,0000020A,00000001,00000003,00000002,00000005,00000000,48,48,47,Kut-Ku's Song I,,,Yian Kut-Ku,00000000,Yian Kut-Ku Certificate S,1,Kut-Ku Wing,3,Kut-Ku Ear,2,Kut-Ku Scale+,5,FALSE
00000031,00000031,00000030,00000185,00000000,00000000,00000185,0000020D,00000252,00000216,00000002,00000004,00000004,00000001,00000000,49,49,48,Kut-Ku's Song II,Kut-Ku's Song I,Nu Udra Certificate S,-,00000000,Nu Udra Certificate S,2,Giant Beak,4,Inferno Sac,4,Bird Wyvern Gem,1,FALSE
00000032,00000032,00000031,00000000,2C864480,00000000,00000293,0000020B,00000184,00000000,00000005,00000006,00000001,00000000,00000000,50,50,49,Kut-Ku Cantabile,Kut-Ku's Song II,,Arkveld,00000000,Hunter Symbol I,5,Kut-Ku Carapace,6,Nu Udra Flamegem,1,,,FALSE
00000033,00000033,00000032,00000000,3E913CC0,00000000,00000215,00000212,00000213,00000211,00000001,00000003,00000002,00000005,00000000,51,51,50,Poisoned Capri I,,,Gypceros,00000000,Gypceros Certificate S,1,Gypceros Wing,3,Gypceros Head,2,Rubbery Hide+,5,FALSE
00000034,00000034,00000033,00000000,E01B5A00,00000000,00000223,00000214,0000025A,00000000,00000002,00000004,00000004,00000000,00000000,52,52,51,Poisoned Capri II,Poisoned Capri I,,Gravios,00000000,Gravios Certificate S,2,Gypceros Tail,4,Toxin Sac,4,,,FALSE
00000035,00000035,00000034,00000000,2C864480,00000000,00000293,00000211,00000216,00000243,00000005,00000006,00000001,00000001,00000000,53,53,52,Crazed Melody,Poisoned Capri II,,Arkveld,00000000,Hunter Symbol I,5,Rubbery Hide+,6,Bird Wyvern Gem,1,Novacrystal,1,FALSE
00000036,00000036,00000035,00000000,0000001A,00000000,00000218,00000068,00000069,00000066,00000001,00000003,00000002,00000005,00000000,54,54,53,Valkyrie Chordmaker I,,,Rathian,00000000,Rathian Certificate S,1,Rathian Webbing,3,Rathian Spike+,2,Rathian Scale+,5,FALSE
00000037,00000037,00000036,00000160,00000000,00000000,00000160,00000067,0000019B,0000005C,00000002,00000006,00000001,00000001,00000000,55,55,54,Valkyrie Chordmaker II,Valkyrie Chordmaker I,Rey Dau Certificate S,-,00000000,Rey Dau Certificate S,2,Rathian Carapace,6,Rath Medulla,1,Wyvern Gem,1,FALSE
00000038,00000038,00000037,00000000,2C864480,00000000,00000293,00000066,0000006A,00000000,00000005,00000005,00000001,00000000,00000000,56,56,55,Queen Chordmaker,Valkyrie Chordmaker II,,Arkveld,00000000,Hunter Symbol I,5,Rathian Scale+,5,Rathian Ruby,1,,,FALSE
