Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Rifle I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Rifle II,Hope Rifle I,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Rifle III,Hope Rifle II,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Rifle IV,Hope Rifle III,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Rifle V,Hope Rifle IV,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000005,5,00000005,5,00000049,73,Esperanza Rifle,Hope Rifle V,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,0000002A,42,Hunter's Rifle I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,0000002B,43,Hunter's Rifle II,Hunter's Rifle I,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,0000002C,44,Hunter's Rifle III,Hunter's Rifle II,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,0000002D,45,Hunter's Rifle IV,Hunter's Rifle III,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,0000002E,46,Power Rifle,Hunter's Rifle IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,00000017,23,Chain Blitz I,,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,00000018,24,Chain Blitz II,Chain Blitz I,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,00000019,25,Chain Blitz III,Chain Blitz II,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,0000001A,26,High Chain Blitz,Chain Blitz III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,00000022,34,Assault Conga I,,00000000,,AA284680,Congalala,00000000,000001F8,Congalala Pelt,00000003,3,000001F9,Congalala Claw,00000002,2,000001FA,Congalala Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000023,35,Assault Conga II,Assault Conga I,00000000,,00000000,-,65760700,00000249,Congalala Certificate S,00000001,1,000001FE,Congalala Claw+,00000005,5,000001FF,Congalala Fang+,00000004,4,0000023C,Conga Pelt+,00000002,2,00000001,TRUE
00000011,17,00000011,17,00000024,36,Combat Conga,Assault Conga II,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000200,Vibrant Pelt+,00000002,2,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000012,18,00000012,18,00000011,17,Dosha Faithbreaker I,,00000000,,0000000F,Doshaguma,00000000,00000022,Doshaguma Fur,00000003,3,00000023,Doshaguma Claw,00000002,2,00000024,Doshaguma Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000013,19,00000013,19,00000012,18,Dosha Faithbreaker II,Dosha Faithbreaker I,00000000,,00000000,-,D9C1E4C0,00000188,Guardian Doshaguma Claw,00000001,1,00000021,Doshaguma Hide,00000003,3,0000024C,Tough Guardian Bone,00000001,1,00000000,,00000000,,00000000,FALSE
00000014,20,00000014,20,00000013,19,Dosha Faithbreaker III,Dosha Faithbreaker II,00000141,Doshaguma Certificate S,00000000,-,00000000,00000141,Doshaguma Certificate S,00000002,2,0000013F,Doshaguma Claw+,00000006,6,00000140,Doshaguma Fang+,00000004,4,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,0000004A,74,Faithbreaker Leibolkule,Dosha Faithbreaker III,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000013E,Doshaguma Hide+,00000006,6,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000016,22,00000016,22,0000000B,11,Rey Szelatya I,,00000000,,A3C51700,Rey Dau,00000000,0000008B,Rey Dau Scale,00000003,3,0000008E,Rey Dau Wingtalon,00000002,2,0000008D,Rey Dau Thunderhorn,00000001,1,00000000,,00000000,,00000000,FALSE
00000017,23,00000017,23,0000000C,12,Rey Szelatya II,Rey Szelatya I,00000000,,0000001A,Rathian,00000000,00000218,Rathian Certificate S,00000002,2,00000068,Rathian Webbing,00000003,3,00000243,Novacrystal,00000001,1,00000000,,00000000,,00000000,FALSE
