Index Raw,Recipe Number Raw,ID Raw,Key Item Raw,Key Monster Raw,Key Story Raw,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,Number 1 Raw,Number 2 Raw,Number 3 Raw,Number 4 Raw,Can Shortcut Raw,Index,Recipe Number,ID,Name,Uprades From,Key Item,Key Monster,Key Story,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4,Can Shortcut
00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0,0,1,Hope Edge I,,,-,00000000,,,,,,,,,FALSE
00000001,00000001,00000002,00000000,00000000,00000000,00000035,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,1,1,2,Hope Edge II,Hope Edge I,,-,00000000,Iron Ore,2,,,,,,,FALSE
00000002,00000002,00000003,00000000,00000000,86FD6D00,00000037,00000036,00000000,00000000,00000003,00000002,00000000,00000000,00000000,2,2,3,Hope Edge III,Hope Edge II,,-,86FD6D00,Dragonite Ore,3,Machalite Ore,2,,,,,FALSE
00000003,00000003,00000004,00000000,00000000,65760700,00000038,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,3,3,4,Hope Edge IV,Hope Edge III,,-,65760700,Carbalite Ore,4,,,,,,,FALSE
00000004,00000004,00000005,00000000,00000000,0D846690,00000290,00000246,00000000,00000000,00000004,00000005,00000000,00000000,00000000,4,4,5,Hope Edge V,Hope Edge IV,,-,0D846690,Monster Hardbone,4,Fucium Ore,5,,,,,FALSE
00000005,00000005,0000004E,00000000,2C864480,00000000,00000293,00000216,00000000,00000000,00000005,00000001,00000000,00000000,00000000,5,5,78,Esperanza Edge,Hope Edge V,,Arkveld,00000000,Hunter Symbol I,5,Bird Wyvern Gem,1,,,,,FALSE
00000006,00000006,00000030,00000000,00000000,00000000,0000003A,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,6,6,48,Bone Shotel I,,,-,00000000,Mystery Bone,2,,,,,,,FALSE
00000007,00000007,00000031,00000000,00000000,E00F49A0,0000003B,000001E9,00000000,00000000,00000002,00000001,00000000,00000000,00000000,7,7,49,Bone Shotel II,Bone Shotel I,,-,E00F49A0,Sturdy Bone,2,Monster Fluid,1,,,,,FALSE
00000008,00000008,00000032,00000000,00000000,B89E2700,0000024C,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,8,8,50,Bone Shotel III,Bone Shotel II,,-,B89E2700,Tough Guardian Bone,2,,,,,,,FALSE
00000009,00000009,00000033,00000000,00000000,85F88180,00000292,0000003D,00000000,00000000,00000004,00000002,00000000,00000000,00000000,9,9,51,Bone Shotel IV,Bone Shotel III,,-,85F88180,Great Stoutbone,4,Colossal Bone,2,,,,,FALSE
0000000A,0000000A,00000034,00000000,2C864480,00000000,00000293,00000290,0000003E,00000025,00000005,00000005,00000001,00000001,00000000,10,10,52,Hard Bone Shotel,Bone Shotel IV,,Arkveld,00000000,Hunter Symbol I,5,Monster Hardbone,5,Dragonbone Relic,1,Beast Gem,1,FALSE
0000000B,0000000B,0000001B,00000000,00000000,E00F49A0,00000036,00000039,00000000,00000000,00000001,00000002,00000000,00000000,00000000,11,11,27,Iron Katana I,Hope Edge II,,-,E00F49A0,Machalite Ore,1,Earth Crystal,2,,,,,FALSE
0000000C,0000000C,0000001C,00000000,00000000,B89E2700,00000242,00000247,00000000,00000000,00000001,00000002,00000000,00000000,00000000,12,12,28,Iron Katana II,Iron Katana I,,-,B89E2700,Lightcrystal,1,Icium,2,,,,,FALSE
0000000D,0000000D,0000001D,00000000,00000000,85F88180,00000246,000002BA,0000028F,00000000,00000004,00000003,00000003,00000000,00000000,13,13,29,Iron Katana III,Iron Katana II,,-,85F88180,Fucium Ore,4,Gracium,3,Monster Keenbone,3,,,FALSE
0000000E,0000000E,0000001E,00000000,2C864480,00000000,00000293,00000243,0000005C,00000000,00000005,00000001,00000001,00000000,00000000,14,14,30,Keen Edge,Iron Katana III,,Arkveld,00000000,Hunter Symbol I,5,Novacrystal,1,Wyvern Gem,1,,,FALSE
