Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
00000000,0,00000000,0,00000001,1,Hope Axe I,,00000000,,00000000,-,00000000,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000001,1,00000001,1,00000002,2,Hope Axe II,Hope Axe I,00000000,,00000000,-,00000000,00000035,Iron Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000002,2,00000002,2,00000003,3,Hope Axe III,Hope Axe II,00000000,,00000000,-,86FD6D00,00000037,Dragonite Ore,00000003,3,00000036,Machalite Ore,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000003,3,00000003,3,00000004,4,Hope Axe IV,Hope Axe III,00000000,,00000000,-,65760700,00000038,Carbalite Ore,00000004,4,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000004,4,00000004,4,00000005,5,Hope Axe V,Hope Axe IV,00000000,,00000000,-,0D846690,00000290,Monster Hardbone,00000004,4,00000246,Fucium Ore,00000005,5,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000005,5,00000005,5,00000043,67,Esperanza Axe,Hope Axe V,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000006,6,00000006,6,00000006,6,Bone Axe I,,00000000,,00000000,-,00000000,0000003A,Mystery Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000007,7,00000007,7,00000007,7,Bone Axe II,Bone Axe I,00000000,,00000000,-,E00F49A0,0000003B,Sturdy Bone,00000002,2,000001E9,Monster Fluid,00000001,1,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000008,8,00000008,8,00000008,8,Bone Axe III,Bone Axe II,00000000,,00000000,-,B89E2700,0000024C,Tough Guardian Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
00000009,9,00000009,9,00000009,9,Bone Axe IV,Bone Axe III,00000000,,00000000,-,85F88180,00000292,Great Stoutbone,00000004,4,0000003D,Colossal Bone,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000A,10,0000000A,10,0000000A,10,Bone Smasher,Bone Axe IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000290,Monster Hardbone,00000005,5,0000003E,Dragonbone Relic,00000001,1,00000025,Beast Gem,00000001,1,00000000,FALSE
0000000B,11,0000000B,11,0000000B,11,Iron Accelerator I,,00000000,,00000000,-,E00F49A0,00000036,Machalite Ore,00000001,1,00000039,Earth Crystal,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000C,12,0000000C,12,0000000C,12,Iron Accelerator II,Iron Accelerator I,00000000,,00000000,-,B89E2700,00000242,Lightcrystal,00000001,1,00000247,Icium,00000002,2,00000000,,00000000,,00000000,,00000000,,00000000,FALSE
0000000D,13,0000000D,13,0000000D,13,Iron Accelerator III,Iron Accelerator II,00000000,,00000000,-,85F88180,00000246,Fucium Ore,00000004,4,000002BA,Gracium,00000003,3,0000028F,Monster Keenbone,00000003,3,00000000,,00000000,,00000000,FALSE
0000000E,14,0000000E,14,0000000E,14,Chrome Accelerator,Iron Accelerator III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000243,Novacrystal,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000000F,15,0000000F,15,0000000F,15,Barina Hache I,,00000000,,A4DDE380,Lala Barina,00000000,00000111,Lala Barina Shell,00000003,3,0000025B,Lala Barina Mucus,00000002,2,00000112,Lala Barina Claw,00000001,1,00000000,,00000000,,00000000,FALSE
00000010,16,00000010,16,00000010,16,Barina Hache II,Barina Hache I,00000000,,AEBC9E00,Nerscylla,00000000,00000203,Nerscylla Claw,00000001,1,00000115,Lala Barina Floret,00000002,2,00000113,Lala Barina Stinger,00000001,1,00000000,,00000000,,00000000,FALSE
00000011,17,00000011,17,00000011,17,Barina Hache III,Barina Hache II,00000000,,00000000,-,65760700,00000136,Lala Barina Certificate S,00000002,2,0000025C,Lala Barina Mucus+,00000005,5,00000134,Lala Barina Claw+,00000003,3,00000000,,00000000,,00000001,TRUE
00000012,18,00000012,18,00000012,18,Barina Hache IV,Barina Hache III,00000290,Monster Hardbone,00000000,-,00000000,00000290,Monster Hardbone,00000003,3,00000132,Lala Barina Floret+,00000006,6,00000135,Lala Barina Stinger+,00000004,4,00000000,,00000000,,00000000,FALSE
00000013,19,00000013,19,00000013,19,Lala Selenocosmi,Barina Hache IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000133,Lala Barina Carapace,00000006,6,000001EA,Monster Broth,00000004,4,00000216,Bird Wyvern Gem,00000001,1,00000000,FALSE
00000014,20,00000014,20,00000014,20,Golba Vandal I,,00000000,,AA284680,Congalala,00000000,000001F8,Congalala Pelt,00000003,3,000001F9,Congalala Claw,00000002,2,000001FA,Congalala Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000015,21,00000015,21,00000015,21,Golba Vandal II,Golba Vandal I,00000000,,00000000,-,65760700,00000249,Congalala Certificate S,00000001,1,000001FE,Congalala Claw+,00000005,5,000001FF,Congalala Fang+,00000004,4,0000023C,Conga Pelt+,00000002,2,00000001,TRUE
00000016,22,00000016,22,00000016,22,Gundava Vandal,Golba Vandal II,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000200,Vibrant Pelt+,00000002,2,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000017,23,00000017,23,00000017,23,Dosha Fleshhacker I,,00000000,,0000000F,Doshaguma,00000000,00000022,Doshaguma Fur,00000003,3,00000023,Doshaguma Claw,00000002,2,00000024,Doshaguma Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000018,24,00000018,24,00000018,24,Dosha Fleshhacker II,Dosha Fleshhacker I,00000000,,00000000,-,D9C1E4C0,00000188,Guardian Doshaguma Claw,00000001,1,00000021,Doshaguma Hide,00000003,3,0000024C,Tough Guardian Bone,00000001,1,00000000,,00000000,,00000000,FALSE
00000019,25,00000019,25,00000019,25,Dosha Fleshhacker III,Dosha Fleshhacker II,00000141,Doshaguma Certificate S,00000000,-,00000000,00000141,Doshaguma Certificate S,00000002,2,0000013F,Doshaguma Claw+,00000006,6,00000140,Doshaguma Fang+,00000004,4,00000000,,00000000,,00000000,FALSE
0000001A,26,0000001A,26,00000044,68,Fleshhacker Yaogahaac,Dosha Fleshhacker III,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000013E,Doshaguma Hide+,00000006,6,00000025,Beast Gem,00000001,1,00000000,,00000000,,00000000,FALSE
0000001B,27,0000001B,27,0000001A,26,Uth Olacha I,,00000000,,00000000,-,97DC3400,00000148,Uth Duna Certificate,00000001,1,00000146,Uth Duna Claw,00000002,2,00000144,Uth Duna Cilia,00000001,1,00000000,,00000000,,00000000,FALSE
0000001C,28,0000001C,28,0000001B,27,Uth Olacha II,Uth Olacha I,0000013B,Balahara Certificate S,00000000,-,00000000,0000013B,Balahara Certificate S,00000001,1,00000254,Torrent Sac,00000003,3,0000003E,Dragonbone Relic,00000001,1,00000000,,00000000,,00000000,FALSE
0000001D,29,0000001D,29,0000001C,28,Uth Olacha III,Uth Olacha II,0000014F,Uth Duna Certificate S,00000000,-,00000000,0000014F,Uth Duna Certificate S,00000003,3,0000014D,Uth Duna Claw+,00000005,5,0000014B,Uth Duna Cilia+,00000003,3,00000147,Uth Duna Plate,00000001,1,00000000,FALSE
0000001E,30,0000001E,30,0000001D,29,Olacha-of-the-Waves,Uth Olacha III,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,0000014C,Uth Duna Tentacle+,00000006,6,0000014A,Uth Duna Hide+,00000006,6,0000014E,Uth Duna Watergem,00000001,1,00000000,FALSE
0000001F,31,0000001F,31,0000001E,30,Windsunder Axe I,,00000000,,0D49B3C0,Hirabami,00000000,00000161,Hirabami Scale,00000003,3,00000164,Hirabami Tail Claw,00000002,2,00000257,Frost Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000020,32,00000020,32,0000001F,31,Windsunder Axe II,Windsunder Axe I,0000016A,Hirabami Certificate S,00000000,-,00000000,0000016A,Hirabami Certificate S,00000001,1,00000169,Hirabami Tail Claw+,00000004,4,00000258,Freezer Sac,00000003,3,00000000,,00000000,,00000001,TRUE
00000021,33,00000021,33,00000020,32,Windsunder Axe III,Windsunder Axe II,000001A9,Jin Dahaad Certificate S,00000000,-,00000000,000001A9,Jin Dahaad Certificate S,00000003,3,00000167,Hirabami Hide+,00000005,5,0000005C,Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000022,34,00000022,34,00000021,33,Windsunder Sakibami,Windsunder Axe III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000168,Hirabami Webbing+,00000006,6,000001A8,Jin Dahaad Icegem,00000001,1,00000000,,00000000,,00000000,FALSE
00000023,35,00000023,35,00000022,34,Nu Zhangyu I,,00000000,,62CFB100,Nu Udra,00000000,00000178,Nu Udra Hide,00000003,3,00000179,Nu Udra Spike,00000002,2,0000017C,Nu Udra Oilmucus,00000001,1,00000000,,00000000,,00000000,FALSE
00000024,36,00000024,36,00000023,35,Nu Zhangyu II,Nu Zhangyu I,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000003,3,00000180,Nu Udra Spike+,00000005,5,00000183,Nu Udra Oilmucus+,00000004,4,0000017D,Nu Udra Cerebrospinal Fluid,00000001,1,00000000,FALSE
00000025,37,00000025,37,00000024,36,Abaddonian Zhangyu,Nu Zhangyu II,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,00000182,Nu Udra Tentacle+,00000006,6,00000181,Nu Udra Horn+,00000004,4,00000184,Nu Udra Flamegem,00000001,1,00000000,FALSE
00000026,38,00000026,38,00000025,37,Dosha Gorehacker I,,00000000,,00000000,-,D9C1E4C0,00000186,Guardian Doshaguma Fur,00000003,3,00000188,Guardian Doshaguma Claw,00000002,2,00000189,Guardian Doshaguma Fang,00000001,1,00000000,,00000000,,00000000,FALSE
00000027,39,00000027,39,00000026,38,Dosha Gorehacker II,Dosha Gorehacker I,0000018F,G. Doshaguma Certificate S,00000000,-,00000000,0000018F,G. Doshaguma Certificate S,00000002,2,0000018D,Guardian Doshaguma Claw+,00000006,6,0000018E,Guardian Doshaguma Fang+,00000004,4,00000260,Guardian Blood+,00000001,1,00000001,TRUE
00000028,40,00000028,40,00000027,39,Gorehacker Urgahaac,Dosha Gorehacker II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000018B,Guardian Doshaguma Fur+,00000006,6,00000299,Guardian Pelt+,00000006,6,00000025,Beast Gem,00000001,1,00000000,FALSE
00000029,41,00000029,41,00000028,40,Albirath Flamesplitter I,,00000000,,00000000,-,D9C1E4C0,00000190,Guardian Rathalos Scale,00000003,3,00000192,Guardian Rathalos Webbing,00000002,2,00000251,Flame Sac,00000001,1,00000000,,00000000,,00000000,FALSE
0000002A,42,0000002A,42,00000029,41,Albirath Flamesplitter II,Albirath Flamesplitter I,0000019A,G. Rathalos Certificate S,00000000,-,00000000,0000019A,G. Rathalos Certificate S,00000002,2,00000198,Guardian Rathalos Wing,00000005,5,000002C2,Guardian Rathalos Plate,00000001,1,00000260,Guardian Blood+,00000001,1,00000000,FALSE
0000002B,43,0000002B,43,0000002A,42,Albirath Blaze Splitter,Albirath Flamesplitter II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,00000197,Guardian Rathalos Carapace,00000006,6,000002C1,Guardian Rathalos Ruby,00000001,1,000001C7,Guardian Scale+,00000006,6,00000000,FALSE
0000002C,44,0000002C,44,0000002B,43,Nihil Switch Axe I,,00000000,,538EBC80,Xu Wu,00000000,000001B8,Xu Wu Hide,00000003,3,000001BB,Xu Wu Claw,00000002,2,000001BC,Xu Wu Fang,00000001,1,00000000,,00000000,,00000000,FALSE
0000002D,45,0000002D,45,0000002C,44,Nihil Switch Axe II,Nihil Switch Axe I,0000012A,Xu Wu Certificate S,00000000,-,00000000,0000012A,Xu Wu Certificate S,00000002,2,000001C2,Xu Wu Claw+,00000006,6,000001C3,Xu Wu Fang+,00000004,4,000001BD,Xu Wu Cerebrospinal Fluid,00000001,1,00000001,TRUE
