Index Raw,Recipe Number Raw,ID Raw,Key Item Raw,Key Monster Raw,Key Story Raw,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,Number 1 Raw,Number 2 Raw,Number 3 Raw,Number 4 Raw,Can Shortcut Raw,Index,Recipe Number,ID,Name,Uprades From,Key Item,Key Monster,Key Story,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4,Can Shortcut
00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0,0,1,Hope Sword I,,,-,00000000,,,,,,,,,FALSE
00000001,00000001,00000002,00000000,00000000,00000000,00000035,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,1,1,2,Hope Sword II,Hope Sword I,,-,00000000,Iron Ore,2,,,,,,,FALSE
00000002,00000002,00000003,00000000,00000000,86FD6D00,00000037,00000036,00000000,00000000,00000003,00000002,00000000,00000000,00000000,2,2,3,Hope Sword III,Hope Sword II,,-,86FD6D00,Dragonite Ore,3,Machalite Ore,2,,,,,FALSE
00000003,00000003,00000004,00000000,00000000,65760700,00000038,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,3,3,4,Hope Sword IV,Hope Sword III,,-,65760700,Carbalite Ore,4,,,,,,,FALSE
00000004,00000004,00000005,00000000,00000000,0D846690,00000290,00000246,00000000,00000000,00000004,00000005,00000000,00000000,00000000,4,4,5,Hope Sword V,Hope Sword IV,,-,0D846690,Monster Hardbone,4,Fucium Ore,5,,,,,FALSE
00000005,00000005,00000052,00000000,2C864480,00000000,00000293,00000216,00000000,00000000,00000005,00000001,00000000,00000000,00000000,5,5,82,Esperanza Sword,Hope Sword V,,Arkveld,00000000,Hunter Symbol I,5,Bird Wyvern Gem,1,,,,,FALSE
00000006,00000006,00000031,00000000,00000000,00000000,0000003A,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,6,6,49,Bone Kukri I,,,-,00000000,Mystery Bone,2,,,,,,,FALSE
00000007,00000007,00000032,00000000,00000000,E00F49A0,0000003B,000001E9,00000000,00000000,00000002,00000001,00000000,00000000,00000000,7,7,50,Bone Kukri II,Bone Kukri I,,-,E00F49A0,Sturdy Bone,2,Monster Fluid,1,,,,,FALSE
00000008,00000008,00000033,00000000,00000000,B89E2700,0000024C,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,8,8,51,Bone Kukri III,Bone Kukri II,,-,B89E2700,Tough Guardian Bone,2,,,,,,,FALSE
00000009,00000009,00000034,00000000,00000000,85F88180,00000292,0000003D,00000000,00000000,00000004,00000002,00000000,00000000,00000000,9,9,52,Bone Kukri IV,Bone Kukri III,,-,85F88180,Great Stoutbone,4,Colossal Bone,2,,,,,FALSE
0000000A,0000000A,00000035,00000000,2C864480,00000000,00000293,00000290,0000003E,00000025,00000005,00000005,00000001,00000001,00000000,10,10,53,Chief Kukri,Bone Kukri IV,,Arkveld,00000000,Hunter Symbol I,5,Monster Hardbone,5,Dragonbone Relic,1,Beast Gem,1,FALSE
0000000B,0000000B,0000001A,00000000,00000000,E00F49A0,00000036,00000039,00000000,00000000,00000001,00000002,00000000,00000000,00000000,11,11,26,Iron Beater I,Hope Sword II,,-,E00F49A0,Machalite Ore,1,Earth Crystal,2,,,,,FALSE
0000000C,0000000C,0000001B,00000000,00000000,B89E2700,00000242,00000247,00000000,00000000,00000001,00000002,00000000,00000000,00000000,12,12,27,Iron Beater II,Iron Beater I,,-,B89E2700,Lightcrystal,1,Icium,2,,,,,FALSE
0000000D,0000000D,0000001C,00000000,00000000,85F88180,00000246,000002BA,0000028F,00000000,00000004,00000003,00000003,00000000,00000000,13,13,28,Iron Beater III,Iron Beater II,,-,85F88180,Fucium Ore,4,Gracium,3,Monster Keenbone,3,,,FALSE
0000000E,0000000E,0000001D,00000000,2C864480,00000000,00000293,00000243,0000005C,00000000,00000005,00000001,00000001,00000000,00000000,14,14,29,Smithy's Pride,Iron Beater III,,Arkveld,00000000,Hunter Symbol I,5,Novacrystal,1,Wyvern Gem,1,,,FALSE
0000000F,0000000F,00000040,00000000,00000021,00000000,00000057,00000055,00000054,00000000,00000003,00000002,00000001,00000000,00000000,15,15,64,Chata Club I,Hope Sword I,,Chatacabra,00000000,Chatacabra Scale,3,Chatacabra Hide,2,Chatacabra Jaw,1,,,FALSE
00000010,00000010,00000041,00000000,21D55200,00000000,00000151,00000056,00000000,00000000,00000001,00000002,00000000,00000000,00000000,16,16,65,Chata Club II,Chata Club I,,Rompopolo,00000000,Rompopolo Claw,1,Chatacabra Shell,2,,,,,FALSE
00000011,00000011,00000042,00000000,00000000,65760700,00000129,00000125,00000126,00000000,00000002,00000005,00000003,00000000,00000001,17,17,66,Chata Club III,Chata Club II,,-,65760700,Chatacabra Certificate S,2,Chatacabra Scale+,5,Chatacabra Jaw+,3,,,TRUE
00000012,00000012,00000043,0000014F,00000000,00000000,0000014F,00000128,00000062,00000000,00000003,00000006,00000006,00000000,00000000,18,18,67,Chata Club IV,Chata Club III,Uth Duna Certificate S,-,00000000,Uth Duna Certificate S,3,Chatacabra Carapace,6,Acute Fang,6,,,FALSE
00000013,00000013,00000053,00000000,2C864480,00000000,00000293,00000127,00000025,00000000,00000005,00000006,00000001,00000000,00000000,19,19,83,Shrouded Katalo,Chata Club IV,,Arkveld,00000000,Hunter Symbol I,5,Chatacabra Hide+,6,Beast Gem,1,,,FALSE
00000014,00000014,00000013,00000000,FDEAE550,00000000,00000058,0000012B,0000005A,00000000,00000003,00000002,00000001,00000000,00000000,20,20,19,Quematrice Cuchillo I,Hope Sword I,,Quematrice,00000000,Quematrice Scale,3,Quematrice Igniter,2,Quematrice Crest,1,,,FALSE
00000015,00000015,00000014,00000000,21D55200,00000000,00000244,0000005B,00000037,00000000,00000001,00000001,00000001,00000000,00000000,21,21,20,Quematrice Cuchillo II,Quematrice Cuchillo I,,Rompopolo,00000000,Firestone,1,Quematrice Tail,1,Dragonite Ore,1,,,FALSE
00000016,00000016,00000015,00000000,00000000,65760700,00000131,0000012F,00000130,00000000,00000002,00000005,00000003,00000000,00000001,22,22,21,Quematrice Cuchillo III,Quematrice Cuchillo II,,-,65760700,Quematrice Certificate S,2,Quematrice Igniter+,5,Quematrice Crest+,3,,,TRUE
