Index Raw,Index,Data Value Raw,Data Value,Series Raw,Series,Type Raw,Type,Name Raw,Name,Description Raw,Description,Defense Raw,Defense,Fire Res Raw,Fire Res,Water Res Raw,Water Res,Thunder Res Raw,Thunder Res,Ice Res Raw,Ice Res,Dragon Res Raw,Dragon Res,Slot 1 Raw,Slot 1,Slot 2 Raw,Slot 2,Slot 3 Raw,Slot 3,Series Skill Raw,Group Skill Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 4 Raw,Skill 5 Raw,Series Skill Level Raw,Group Skill Level Raw,Skill Level 1 Raw,Skill Level 2 Raw,Skill Level 3 Raw,Skill Level 4 Raw,Skill Level 5 Raw,Series Skill,Group Skill,Skill 1,Skill Level 1,Skill 2,Skill Level 2,Skill 3,Skill Level 3
00000000,0,00000001,1,00000002,Hope,00000000,HELM,5383AD5C-CA4D-4FAA-8583-DA37B738B483,Hope Mask,E54CA422-C8EF-4C71-BD0E-3E5FFBBE3C34,"Armor crafted specifically for
members of the expedition.
The mask keeps the sand out.",00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,2A0A4AC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Stun Resistance,1,,,,
00000001,1,00000002,2,00000002,Hope,00000001,BODY,8A8EAF84-D6F0-4983-9A1B-A6E1455116BF,Hope Mail,1F55F364-CB30-4D2B-A66A-2E4B17CF9C7B,"Armor crafted specifically for
members of the expedition. An
all-seasons design for any clime.",00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,50462980,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Divine Blessing,1,,,,
00000002,2,00000003,3,00000002,Hope,00000002,ARM,8B2913A9-14B2-4DC7-A1F1-933237A9C633,Hope Vambraces,D2BB221D-8D76-4D46-82A2-D202D699BC56,"Armor crafted specifically for
members of the expedition.
Pliant fingers help with
precision work.",00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,50462980,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Divine Blessing,1,,,,
00000003,3,00000004,4,00000002,Hope,00000003,WAIST,343B29DA-C830-4514-8395-BF72DB6EC994,Hope Coil,72F93EEC-B3D7-45CD-B9ED-353F4E9C9490,"Armor crafted specifically for
members of the expedition.
It is optimized for quick access.",00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,2A0A4AC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Stun Resistance,1,,,,
00000004,4,00000005,5,00000002,Hope,00000004,LEG,BEB67C1E-8D41-43CC-881E-3A4157BE0421,Hope Greaves,CD257A97-C8F2-40B4-8049-9DE1293FA3ED,"Armor crafted specifically for
members of the expedition. It
can handle nearly any terrain.",00000002,2,00000001,1,00000000,0,00000001,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,50462980,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Divine Blessing,1,,,,
00000005,5,00000006,6,00000003,Leather,00000000,HELM,EA469F6F-221C-4C35-8801-DBDE05C0791C,Leather Headgear,6775BFC6-E4C9-42C6-AB03-F6B46184459D,"Head armor made of treated
monster hide. A safe choice,
designed for multi-purpose use.",00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,334A7580,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Botanist,1,,,,
00000006,6,00000007,7,00000003,Leather,00000001,BODY,24C13645-D7E6-44C4-90D9-5F70F353BF80,Leather Vest,C048B259-7014-45CC-99E7-B8A0D5BC21DA,"Simple chest armor reinforced
with monster hide. A design
that maximizes wearability.",00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,334A7580,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Botanist,1,,,,
00000007,7,00000008,8,00000003,Leather,00000002,ARM,8729382C-6E64-4997-AFD2-FB0CCEB101C6,Leather Gloves,6576083A-25F8-427E-A344-853432225A19,"Armguards reinforced with
monster hide. They're light,
but provide ample protection.",00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,79E68180,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Hunger Resistance,1,,,,
00000008,8,00000009,9,00000003,Leather,00000003,WAIST,452330C9-F1E2-47CD-AD71-C2FD468FD2F1,Leather Belt,DBE8F3D9-F13A-4269-9AC3-DE599A329AA3,"Waistgear reinforced with
monster hide. Hunters swear by
its no-nonsense functionality.",00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,334A7580,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Botanist,1,,,,
00000009,9,0000000A,10,00000003,Leather,00000004,LEG,51982DDA-FE81-4AEA-8943-EDDC65183704,Leather Pants,2C8B7145-4ED7-41A2-B193-1419265731A8,"Leg armor reinforced with
monster hide. Molds to the
body with extended use.",00000002,2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,334A7580,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Botanist,1,,,,
0000000A,10,0000000B,11,00000004,Chainmail,00000000,HELM,C2D73FDD-AA82-4B7B-AB28-B6044B36174E,Chainmail Headgear,BF2A33AD-F3B0-4D43-A88F-B074C407D36F,"Head armor made of woven chain
links. Its familiar design inspires
trust in hunters who wear it.",00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,238443C0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Geologist,1,,,,
0000000B,11,0000000C,12,00000004,Chainmail,00000001,BODY,EFCF7B75-8990-45D8-AFFF-9175814887D2,Chainmail Vest,A476E4AB-9039-4488-8637-8B2D71E0B549,"Chest armor made of woven chain
links. Tried and true, it offers
solid, functional defense.",00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,238443C0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Geologist,1,,,,
0000000C,12,0000000D,13,00000004,Chainmail,00000002,ARM,308FD2AA-DAAF-4519-90BC-B27A1146365F,Chainmail Gloves,07C456B9-47F9-4F63-A2A7-DA79E6B075BF,"Armguards made of woven chain
links. They're easy to use and
a breeze to maintain.",00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,238443C0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Geologist,1,,,,
0000000D,13,0000000E,14,00000004,Chainmail,00000003,WAIST,712CC2D5-E711-4CEF-8DD5-AA8F7A45D81E,Chainmail Belt,DC9FE2A3-4A31-4B58-A3D7-64C6C16266F0,"Waistgear made of woven chain
links. A smart combination of
materials keeps it extra light.",00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,BD27BF80,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Recovery Speed,1,,,,
0000000E,14,0000000F,15,00000004,Chainmail,00000004,LEG,3E5B03A5-CC4D-4C48-A19A-DE38BD027CD6,Chainmail Pants,67455019-01ED-4021-83F2-A5DA88A19741,"Leg armor made of woven chain
links. The clever weave prevents
it from impairing movement.",00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,00000000,BD27BF80,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Recovery Speed,1,,,,
0000000F,15,00000010,16,00000005,Bone,00000000,HELM,556609D9-CC1B-4B56-98C6-CAA1373A5E0D,Bone Helm,D562FD4E-9A7A-4E86-8BD5-ABA9F978120A,"Traditional head armor crafted
from monster bones. Believe it
or not, it offers pretty good
insulation.",00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,00000000,D7508FC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Marathon Runner,1,,,,
