Index Raw,Index,Type Raw,Model ID Raw,Model ID,Custom Model ID Raw,DB ID Raw,LS ID Raw,Hammer ID Raw,HH ID Raw,Lance ID Raw,GL ID Raw,SA ID Raw,CA ID Raw,IG ID Raw,Bow ID Raw,HBG ID Raw,LBG ID Raw,ID,Name Raw,Name,Description Raw,Sort ID Raw,Sort ID,Price Raw,Price,Rarity Raw,Rarity,Attack Raw,Attack,Defense Raw,Defense,Affinity Raw,Affinity,Element 1 Raw,Attribute,Element 1 Value Raw,Attribute Value,Element 2 Raw,Element 2 Value Raw,Slot 1 Raw,Slot 2 Raw,Slot 3 Raw,Slots,Sharpness 0 Raw,Sharpness 1 Raw,Sharpness 2 Raw,Sharpness 3 Raw,Sharpness 4 Raw,Sharpness 5 Raw,Sharpness 6 Raw,Sharpness 7 Raw,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness,Handicraft 0 Raw,Handicraft 0 Lv,Handicraft 1 Raw,Handicraft 1 Lv,Handicraft 2 Raw,Handicraft 2 Lv,Handicraft 3 Raw,Handicraft 3 Lv,Red Sharpness +1,Orange Sharpness +1,Yellow Sharpness +1,Green Sharpness +1,Blue Sharpness +1,White Sharpness +1,Purple Sharpness +1,Sharpness Bar,Sharpness Bar (Handicraft),Skill 0 Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 0 Lv Raw,Skill 1 Lv Raw,Skill 2 Lv Raw,Skill 3 Lv Raw,Skill 1,Skill 1 Lv,Skill 2,Skill 2 Lv
00000000,0,0000000C,0000001C,28,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1,58089F2B-67E1-45AD-BC9E-097F3A221494,Hope Daggers I,9BD99C81-A252-4008-9088-D05A4741F831,00000000,0,000000C8,200z,00000012,1,005A,90,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0028,0028,0046,0000,0000,0000,0000,50,40,40,70,0,0,0,0032,4,0000,5,0000,6,0000,7,50,40,40,70,0,0,0,,,00000000,00000000,00000000,00000000,0000,0000,0000,0000,,,,
00000001,1,0000000C,0000001C,28,00000000,00000002,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2,DA2B0AB4-5966-4E32-82F1-FAE0BAE11DE4,Hope Daggers II,CD506A22-FC98-4191-AD16-B81B6EDD466B,00000001,1,000001F4,500z,00000012,1,0064,100,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0028,0028,0028,0050,0000,0000,0000,0000,40,40,40,80,0,0,0,0032,4,0000,5,0000,6,0000,7,40,40,40,80,0,0,0,,,561FF780,00000000,00000000,00000000,0001,0000,0000,0000,Speed Sharpening,1,,
00000002,2,0000000C,0000001C,28,00000000,00000003,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3,0F9D2CBA-2C5A-4E7E-8B69-DA9E30C8700B,Hope Daggers III,958E7C96-4751-4D5B-B8E0-636E7FF658B4,00000002,2,000005DC,"1,500z",00000010,3,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0028,0064,0000,0000,0000,0000,50,60,40,100,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,40,100,0,0,0,,,561FF780,830A1C00,00000000,00000000,0001,0001,0000,0000,Speed Sharpening,1,Critical Eye,1
00000003,3,0000000C,0000001C,28,00000000,00000004,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4,5A1014FF-6F4E-4555-BB09-E89135BEEF08,Hope Daggers IV,6A0451E6-85CD-4FA1-A1F6-9737624E4ADF,00000003,3,00000FA0,"4,000z",0000000E,5,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,0032,0046,0046,0000,0000,0000,50,60,50,70,70,0,0,0032,5,0000,6,0000,7,0000,8,50,60,50,70,70,0,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000004,4,0000000C,0000001C,28,00000000,00000005,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,5,88DD241E-2854-4059-AE35-54B0676895A3,Hope Daggers V,7785069A-4FEB-4ED0-9A4A-4A1C86C10C9C,00000004,4,000036B0,"14,000z",0000000C,7,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0032,003C,0028,0046,003C,0046,0000,0000,50,60,40,70,60,70,0,0032,6,0000,7,0000,8,0000,9,50,60,40,70,60,70,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000006,6,0000000C,00002714,10004,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,6,9F1C8997-0E5E-4D23-B342-A00C5C0D443D,Bone Hatchets I,CC107254-2D19-49FB-A687-D3FA093F29A5,0000001A,26,000001F4,500z,00000012,1,006E,110,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,005A,0000,0000,0000,0000,0000,50,60,90,0,0,0,0,0028,3,000A,4,0000,5,0000,6,50,60,90,0,0,0,0,,,EF1CAA60,00000000,00000000,00000000,0001,0000,0000,0000,Focus,1,,
00000007,7,0000000C,00002714,10004,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,7,9A374B59-EAF4-44F1-859D-0625A8D35B91,Bone Hatchets II,83BC55C6-4164-4DB1-AABD-007F7A862496,0000001B,27,00000320,800z,00000011,2,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,001E,0078,0000,0000,0000,0000,0000,50,30,120,0,0,0,0,0014,3,001E,4,0000,5,0000,6,50,30,120,0,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0001,0001,0000,0000,Focus,1,Attack Boost,1
00000008,8,0000000C,00002714,10004,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,8,0992F777-D5FA-4367-BB36-FF7C9E12174A,Bone Hatchets III,23D2C094-175F-45AB-8126-6D16F0CD3DEE,0000001C,28,00000A28,"2,600z",0000000F,4,00AA,170,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0032,0032,0064,0032,0000,0000,0000,0000,50,50,100,50,0,0,0,0032,4,0000,5,0000,6,0000,7,50,50,100,50,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0002,0001,0000,0000,Focus,2,Attack Boost,1
00000009,9,0000000C,00002714,10004,00000000,00000009,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,9,D40788D7-59CB-4121-A3AE-1026256C1D97,Bone Hatchets IV,6BDA3514-14AC-4853-A43D-EC04F77E948F,0000001D,29,00002710,"10,000z",0000000D,6,00C8,200,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,0032,0050,0078,0000,0000,0000,0000,50,50,80,120,0,0,0,0032,4,0000,5,0000,6,0000,7,50,50,80,120,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0003,0001,0000,0000,Focus,3,Attack Boost,1
0000000A,10,0000000C,00002714,10004,00000000,0000000A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10,A8887F16-1BAA-4AD1-AFAF-A604FDF0E430,Wild Hatchets,56561D13-6280-48DA-A565-92B72B8608AC,0000001E,30,00004E20,"20,000z",0000000B,8,00E6,230,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0032,0032,003C,0046,0078,0000,0000,0000,50,50,60,70,120,0,0,0032,5,0000,6,0000,7,0000,8,50,50,60,70,120,0,0,,,EF1CAA60,00000001,00000000,00000000,0003,0001,0000,0000,Focus,3,Attack Boost,1
