Index Raw,Index,Type Raw,Model ID Raw,Model ID,Custom Model ID Raw,DB ID Raw,LS ID Raw,Hammer ID Raw,HH ID Raw,Lance ID Raw,GL ID Raw,SA ID Raw,CA ID Raw,IG ID Raw,Bow ID Raw,HBG ID Raw,LBG ID Raw,ID,Name Raw,Name,Description Raw,Sort ID Raw,Sort ID,Price Raw,Price,Rarity Raw,Rarity,Attack Raw,Attack,Defense Raw,Defense,Affinity Raw,Affinity,Element 1 Raw,Attribute,Element 1 Value Raw,Attribute Value,Element 2 Raw,Element 2 Value Raw,Slot 1 Raw,Slot 2 Raw,Slot 3 Raw,Slots,Sharpness 0 Raw,Sharpness 1 Raw,Sharpness 2 Raw,Sharpness 3 Raw,Sharpness 4 Raw,Sharpness 5 Raw,Sharpness 6 Raw,Sharpness 7 Raw,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness,Handicraft 0 Raw,Handicraft 0 Lv,Handicraft 1 Raw,Handicraft 1 Lv,Handicraft 2 Raw,Handicraft 2 Lv,Handicraft 3 Raw,Handicraft 3 Lv,Red Sharpness +1,Orange Sharpness +1,Yellow Sharpness +1,Green Sharpness +1,Blue Sharpness +1,White Sharpness +1,Purple Sharpness +1,Sharpness Bar,Sharpness Bar (Handicraft),Wp07 Shell Type Raw,Gunlance Shell Type,Wp07 Shell Lv Raw,Gunlance Shell Level,Skill 0 Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 0 Lv Raw,Skill 1 Lv Raw,Skill 2 Lv Raw,Skill 3 Lv Raw,Skill 1,Skill 1 Lv,Skill 2,Skill 2 Lv
00000000,0,00000007,00000000,0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,1,88B46E3E-66C4-4BB1-A3A3-5E762157B566,Hope Gunlance I,4A0B1ED3-44F6-42E1-A7C6-79DF2435A12B,00000000,0,000000C8,200z,00000012,1,005A,90,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0032,0028,003C,0000,0000,0000,0000,50,50,40,60,0,0,0,0032,4,0000,5,0000,6,0000,7,50,50,40,60,0,0,0,,,ECA9F3C0,NORMAL,C4C4D080,2,00000000,00000000,00000000,00000000,0000,0000,0000,0000,,,,
00000001,1,00000007,00000000,0,00000000,00000000,00000000,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,00000000,00000000,2,48EFD707-CDCD-4ED4-854E-CA84C0555A38,Hope Gunlance II,A7486026-8B78-4DB5-AE23-566DB69A2A03,00000001,1,000001F4,500z,00000012,1,0064,100,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0028,0032,0028,0046,0000,0000,0000,0000,40,50,40,70,0,0,0,0032,4,0000,5,0000,6,0000,7,40,50,40,70,0,0,0,,,ECA9F3C0,NORMAL,C4C4D080,2,561FF780,00000000,00000000,00000000,0001,0000,0000,0000,Speed Sharpening,1,,
00000002,2,00000007,00000000,0,00000000,00000000,00000000,00000000,00000000,00000000,00000003,00000000,00000000,00000000,00000000,00000000,00000000,3,BCBC3BBB-EC53-4C7D-AD2D-FD1A70AA8BC5,Hope Gunlance III,ADD64894-0A60-4905-A9E1-9CDE0415F318,00000002,2,000005DC,"1,500z",00000010,3,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0032,005A,0000,0000,0000,0000,50,60,50,90,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,50,90,0,0,0,,,ECA9F3C0,NORMAL,C4C4D080,2,561FF780,830A1C00,00000000,00000000,0001,0001,0000,0000,Speed Sharpening,1,Critical Eye,1
00000003,3,00000007,00000000,0,00000000,00000000,00000000,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,00000000,00000000,4,9EE68E1D-5ACC-4D9A-AE9E-5510926D3E55,Hope Gunlance IV,49517D7E-1F7A-4580-8E7E-FFBCC3DA942F,00000003,3,00000FA0,"4,000z",0000000E,5,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,003C,0046,003C,0000,0000,0000,50,60,60,70,60,0,0,0032,5,0000,6,0000,7,0000,8,50,60,60,70,60,0,0,,,ECA9F3C0,NORMAL,C4C4D080,2,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000004,4,00000007,00000000,0,00000000,00000000,00000000,00000000,00000000,00000000,00000005,00000000,00000000,00000000,00000000,00000000,00000000,5,76EB20A1-AF9C-4468-A62A-A2ED4AA73332,Hope Gunlance V,2BFEBD15-807C-42FB-B912-EFCE671AAEDD,00000004,4,000036B0,"14,000z",0000000C,7,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0032,003C,0032,0050,0032,003C,0000,0000,50,60,50,80,50,60,0,0032,6,0000,7,0000,8,0000,9,50,60,50,80,50,60,0,,,ECA9F3C0,NORMAL,C4C4D080,2,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000006,6,00000007,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,6,C2596AB7-5EC2-412E-8F76-952A19381B57,Bone Gunlance I,828800ED-8136-4893-8141-41F67C390F55,0000001C,28,000001F4,500z,00000012,1,006E,110,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0046,0050,0000,0000,0000,0000,0000,50,70,80,0,0,0,0,0028,3,000A,4,0000,5,0000,6,50,70,80,0,0,0,0,,,98B83600,WIDE,C4C4D080,2,EDA9B920,00000000,00000000,00000000,0001,0000,0000,0000,Guard,1,,
00000007,7,00000007,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,7,5B8A26EB-5F44-4C1B-AF5F-65E4AF8B65FA,Bone Gunlance II,E4D7F32E-F8FE-4894-BF76-E0500828DF30,0000001D,29,00000320,800z,00000011,2,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0028,006E,0000,0000,0000,0000,0000,50,40,110,0,0,0,0,0014,3,001E,4,0000,5,0000,6,50,40,110,0,0,0,0,,,98B83600,WIDE,C4C4D080,2,EDA9B920,00000001,00000000,00000000,0001,0001,0000,0000,Guard,1,Attack Boost,1
00000008,8,00000007,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,8,81A0E030-3B9E-428D-B45B-F30964AEFF53,Bone Gunlance III,1C3D9158-F1EB-4AE8-BA28-717B7FBE0E48,0000001E,30,00000A28,"2,600z",0000000F,4,00AA,170,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0032,003C,0064,0028,0000,0000,0000,0000,50,60,100,40,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,100,40,0,0,0,,,98B83600,WIDE,C4C4D080,2,EDA9B920,00000001,00000000,00000000,0002,0001,0000,0000,Guard,2,Attack Boost,1
00000009,9,00000007,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000000,00000009,00000000,00000000,00000000,00000000,00000000,00000000,9,A85FE220-F25D-48F0-8162-CF15AB77E06A,Bone Gunlance IV,8C26A8F5-A570-4099-8C4D-6D167D8A9C46,0000001F,31,00002710,"10,000z",0000000D,6,00C8,200,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,0050,006E,0000,0000,0000,0000,50,60,80,110,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,80,110,0,0,0,,,98B83600,WIDE,C4C4D080,2,EDA9B920,00000001,00000000,00000000,0003,0001,0000,0000,Guard,3,Attack Boost,1
0000000A,10,00000007,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000000,0000000A,00000000,00000000,00000000,00000000,00000000,00000000,10,308949D4-39DE-4731-8183-C8E826F6073F,Great Bone Gunlance,986A7CF0-7A2F-4C98-99E7-4FF24308C3EC,00000020,32,00004E20,"20,000z",0000000B,8,00E6,230,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0032,003C,003C,0046,006E,0000,0000,0000,50,60,60,70,110,0,0,0032,5,0000,6,0000,7,0000,8,50,60,60,70,110,0,0,,,98B83600,WIDE,C4C4D080,2,EDA9B920,00000001,00000000,00000000,0003,0001,0000,0000,Guard,3,Attack Boost,1
