Index Raw,Index,Type Raw,Model ID Raw,Model ID,Custom Model ID Raw,DB ID Raw,LS ID Raw,Hammer ID Raw,HH ID Raw,Lance ID Raw,GL ID Raw,SA ID Raw,CA ID Raw,IG ID Raw,Bow ID Raw,HBG ID Raw,LBG ID Raw,ID,Name Raw,Name,Description Raw,Sort ID Raw,Sort ID,Price Raw,Price,Rarity Raw,Rarity,Attack Raw,Attack,Defense Raw,Defense,Affinity Raw,Affinity,Element 1 Raw,Attribute,Element 1 Value Raw,Attribute Value,Element 2 Raw,Element 2 Value Raw,Slot 1 Raw,Slot 2 Raw,Slot 3 Raw,Slots,Sharpness 0 Raw,Sharpness 1 Raw,Sharpness 2 Raw,Sharpness 3 Raw,Sharpness 4 Raw,Sharpness 5 Raw,Sharpness 6 Raw,Sharpness 7 Raw,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness,Handicraft 0 Raw,Handicraft 0 Lv,Handicraft 1 Raw,Handicraft 1 Lv,Handicraft 2 Raw,Handicraft 2 Lv,Handicraft 3 Raw,Handicraft 3 Lv,Red Sharpness +1,Orange Sharpness +1,Yellow Sharpness +1,Green Sharpness +1,Blue Sharpness +1,White Sharpness +1,Purple Sharpness +1,Sharpness Bar,Sharpness Bar (Handicraft),Skill 0 Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 0 Lv Raw,Skill 1 Lv Raw,Skill 2 Lv Raw,Skill 3 Lv Raw,Skill 1,Skill 1 Lv,Skill 2,Skill 2 Lv
00000000,0,0000000A,00000002,2,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1,C2D8DD59-17C5-40C9-9ABA-EC541BDB66DB,Hope Hammer I,0A199600-7CF5-488E-B817-FC9EB09E2E67,00000000,0,000000C8,200z,00000012,1,005A,90,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0032,0028,0000,0000,0000,0000,50,60,50,40,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,50,40,0,0,0,,,00000000,00000000,00000000,00000000,0000,0000,0000,0000,,,,
00000001,1,0000000A,00000002,2,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2,FA5045FE-5403-420B-86DF-E4704D8E630F,Hope Hammer II,99B09542-E208-42EB-8DE6-381ADE90C035,00000001,1,000001F4,500z,00000012,1,0064,100,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0028,0032,003C,0032,0000,0000,0000,0000,40,50,60,50,0,0,0,0032,4,0000,5,0000,6,0000,7,40,50,60,50,0,0,0,,,561FF780,00000000,00000000,00000000,0001,0000,0000,0000,Speed Sharpening,1,,
00000002,2,0000000A,00000002,2,00000000,00000000,00000000,00000003,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3,3192F8AB-4F3A-4B4F-809E-F6416F1D42B9,Hope Hammer III,CE2C3DDE-8BE7-4B88-9B2E-7067E6186794,00000002,2,000005DC,"1,500z",00000010,3,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0046,0046,0000,0000,0000,0000,50,60,70,70,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,70,70,0,0,0,,,561FF780,830A1C00,00000000,00000000,0001,0001,0000,0000,Speed Sharpening,1,Critical Eye,1
00000003,3,0000000A,00000002,2,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4,0D422AAA-8854-4025-A538-28FC6AC2CC88,Hope Hammer IV,9C776ADD-AAA0-4FAB-8318-6DDB5C1EB53D,00000003,3,00000FA0,"4,000z",0000000E,5,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,0050,0046,0028,0000,0000,0000,50,60,80,70,40,0,0,0032,5,0000,6,0000,7,0000,8,50,60,80,70,40,0,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000004,4,0000000A,00000002,2,00000000,00000000,00000000,00000005,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,5,AAFC2090-9F2E-4B64-9618-4D77B9727877,Hope Hammer V,EE096D84-5486-4F52-9A34-7E8ABD9BE6F7,00000004,4,000036B0,"14,000z",0000000C,7,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0032,003C,0046,0050,0032,0028,0000,0000,50,60,70,80,50,40,0,0032,6,0000,7,0000,8,0000,9,50,60,70,80,50,40,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000006,6,0000000A,00002713,10003,00000000,00000000,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,6,3F71E16E-0611-41C5-B1C0-F34E18265BB5,Bone Bludgeon I,6D5C4186-8134-48A5-AE2C-EED08110806B,00000022,34,000001F4,500z,00000012,1,006E,110,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,005A,003C,0000,0000,0000,0000,0000,50,90,60,0,0,0,0,0028,3,000A,4,0000,5,0000,6,50,90,60,0,0,0,0,,,EF1CAA60,00000000,00000000,00000000,0001,0000,0000,0000,Focus,1,,
00000007,7,0000000A,00002713,10003,00000000,00000000,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,7,81CBA28C-0420-4D86-8BC3-054D86F0C28C,Bone Bludgeon II,411F938D-63CA-4B0F-BF6A-10B9AC4AF1FF,00000023,35,00000320,800z,00000011,2,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,005A,0000,0000,0000,0000,0000,50,60,90,0,0,0,0,0014,3,001E,4,0000,5,0000,6,50,60,90,0,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0002,0001,0000,0000,Focus,2,Attack Boost,1
00000008,8,0000000A,00002713,10003,00000000,00000000,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,8,55070E8E-2D45-4AA2-8B72-59D6C80ED64B,Bone Bludgeon III,02C86EE5-1847-4707-B862-D44F1915CE41,00000024,36,00000A28,"2,600z",0000000F,4,00AA,170,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0032,0050,0064,0014,0000,0000,0000,0000,50,80,100,20,0,0,0,0032,4,0000,5,0000,6,0000,7,50,80,100,20,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0002,0001,0000,0000,Focus,2,Attack Boost,1
00000009,9,0000000A,00002713,10003,00000000,00000000,00000000,00000009,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,9,8A077C7F-E9DB-470F-A304-7418B5B0AD19,Bone Bludgeon IV,0B09B09F-F2F5-4047-92A8-C95B82A10DE1,00000025,37,00002710,"10,000z",0000000D,6,00C8,200,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,0050,0050,005A,0000,0000,0000,0000,50,80,80,90,0,0,0,0032,4,0000,5,0000,6,0000,7,50,80,80,90,0,0,0,,,EF1CAA60,00000001,00000000,00000000,0003,0001,0000,0000,Focus,3,Attack Boost,1
0000000A,10,0000000A,00002713,10003,00000000,00000000,00000000,0000000A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10,7B9BB096-D984-4638-AB8F-C2DD3C10DF36,Heavy Bone Bludgeon,B734E6AB-EE5C-4A94-A120-FC55E56F2949,00000026,38,00004E20,"20,000z",0000000B,8,00E6,230,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0032,0046,0046,0046,005A,0000,0000,0000,50,70,70,70,90,0,0,0032,5,0000,6,0000,7,0000,8,50,70,70,70,90,0,0,,,EF1CAA60,00000001,00000000,00000000,0003,0001,0000,0000,Focus,3,Attack Boost,1
