Index Raw,Index,Type Raw,Model ID Raw,Model ID,Custom Model ID Raw,DB ID Raw,LS ID Raw,Hammer ID Raw,HH ID Raw,Lance ID Raw,GL ID Raw,SA ID Raw,CA ID Raw,IG ID Raw,Bow ID Raw,HBG ID Raw,LBG ID Raw,ID,Name Raw,Name,Description Raw,Sort ID Raw,Sort ID,Price Raw,Price,Rarity Raw,Rarity,Attack Raw,Attack,Defense Raw,Defense,Affinity Raw,Affinity,Element 1 Raw,Attribute,Element 1 Value Raw,Attribute Value,Element 2 Raw,Element 2 Value Raw,Slot 1 Raw,Slot 2 Raw,Slot 3 Raw,Slots,Sharpness 0 Raw,Sharpness 1 Raw,Sharpness 2 Raw,Sharpness 3 Raw,Sharpness 4 Raw,Sharpness 5 Raw,Sharpness 6 Raw,Sharpness 7 Raw,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness,Handicraft 0 Raw,Handicraft 0 Lv,Handicraft 1 Raw,Handicraft 1 Lv,Handicraft 2 Raw,Handicraft 2 Lv,Handicraft 3 Raw,Handicraft 3 Lv,Red Sharpness +1,Orange Sharpness +1,Yellow Sharpness +1,Green Sharpness +1,Blue Sharpness +1,White Sharpness +1,Purple Sharpness +1,Sharpness Bar,Sharpness Bar (Handicraft),Skill 0 Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 0 Lv Raw,Skill 1 Lv Raw,Skill 2 Lv Raw,Skill 3 Lv Raw,Skill 1,Skill 1 Lv,Skill 2,Skill 2 Lv
00000000,0,00000008,00000004,4,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1,148ECB02-98A3-42E9-8840-F6F0BA4A64C4,Hope Lance I,2856B5DF-B28F-4EDE-8C31-8E76DAC98529,00000000,0,000000C8,200z,00000012,1,005A,90,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0028,0032,0000,0000,0000,0000,50,60,40,50,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,40,50,0,0,0,,,00000000,00000000,00000000,00000000,0000,0000,0000,0000,,,,
00000001,1,00000008,00000004,4,00000000,00000000,00000000,00000000,00000000,00000002,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2,EE4B4607-509D-4DA5-BFC2-797D35F4DE57,Hope Lance II,29BBC207-08C4-4933-8EA8-F6CE0EB23E04,00000001,1,000001F4,500z,00000012,1,0064,100,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0028,0032,0032,003C,0000,0000,0000,0000,40,50,50,60,0,0,0,0032,4,0000,5,0000,6,0000,7,40,50,50,60,0,0,0,,,561FF780,00000000,00000000,00000000,0001,0000,0000,0000,Speed Sharpening,1,,
00000002,2,00000008,00000004,4,00000000,00000000,00000000,00000000,00000000,00000003,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3,36EF066D-824E-4600-85C8-D30BFB43FE6B,Hope Lance III,3026C53A-11DB-4960-948B-9466A7DC6603,00000002,2,000005DC,"1,500z",00000010,3,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,003C,0050,0000,0000,0000,0000,50,60,60,80,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,60,80,0,0,0,,,561FF780,830A1C00,00000000,00000000,0001,0001,0000,0000,Speed Sharpening,1,Critical Eye,1
00000003,3,00000008,00000004,4,00000000,00000000,00000000,00000000,00000000,00000004,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4,9C3CE572-E431-404B-B64C-51094E7C1B8D,Hope Lance IV,EA1BC24E-ECFE-4349-B54E-0FF99B405BC4,00000003,3,00000FA0,"4,000z",0000000E,5,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,0046,0046,0032,0000,0000,0000,50,60,70,70,50,0,0,0032,5,0000,6,0000,7,0000,8,50,60,70,70,50,0,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000004,4,00000008,00000004,4,00000000,00000000,00000000,00000000,00000000,00000005,00000000,00000000,00000000,00000000,00000000,00000000,00000000,5,DBCA7BC9-17F3-4FB4-8EF6-B93F9C21A7F7,Hope Lance V,0477E632-8888-4F4F-A8BB-FC1B2534DAD8,00000004,4,000036B0,"14,000z",0000000C,7,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0032,003C,003C,0050,0032,0032,0000,0000,50,60,60,80,50,50,0,0032,6,0000,7,0000,8,0000,9,50,60,60,80,50,50,0,,,561FF780,830A1C00,00000000,00000000,0002,0001,0000,0000,Speed Sharpening,2,Critical Eye,1
00000006,6,00000008,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000006,00000000,00000000,00000000,00000000,00000000,00000000,00000000,6,2F62C75B-0F02-460E-AF29-8D31C7F42CB7,Bone Lance I,029757DE-23B7-46BC-B95B-4019D3180A7D,0000001D,29,000001F4,500z,00000012,1,006E,110,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0050,0046,0000,0000,0000,0000,0000,50,80,70,0,0,0,0,0028,3,000A,4,0000,5,0000,6,50,80,70,0,0,0,0,,,EDA9B920,00000000,00000000,00000000,0001,0000,0000,0000,Guard,1,,
00000007,7,00000008,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000007,00000000,00000000,00000000,00000000,00000000,00000000,00000000,7,DC49E20E-E40F-4FA6-AEC7-B3BD3802A82E,Bone Lance II,9A9EB606-A246-43C3-9957-5478DF67FCBB,0000001E,30,00000320,800z,00000011,2,0082,130,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0032,0064,0000,0000,0000,0000,0000,50,50,100,0,0,0,0,0014,3,001E,4,0000,5,0000,6,50,50,100,0,0,0,0,,,EDA9B920,00000001,00000000,00000000,0001,0001,0000,0000,Guard,1,Attack Boost,1
00000008,8,00000008,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000008,00000000,00000000,00000000,00000000,00000000,00000000,00000000,8,7FF73FFE-58F8-4196-903D-55CB1B614784,Bone Lance III,D9ED09E3-FD83-4478-880E-F16D7B9FDD25,0000001F,31,00000A28,"2,600z",0000000F,4,00AA,170,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0032,0046,0064,001E,0000,0000,0000,0000,50,70,100,30,0,0,0,0032,4,0000,5,0000,6,0000,7,50,70,100,30,0,0,0,,,EDA9B920,00000001,00000000,00000000,0002,0001,0000,0000,Guard,2,Attack Boost,1
00000009,9,00000008,00002714,10004,00000000,00000000,00000000,00000000,00000000,00000009,00000000,00000000,00000000,00000000,00000000,00000000,00000000,9,D64B1DFD-5ADC-46C6-A0CA-AFB6234E2870,Bone Lance IV,FA9AE4EF-53C7-420B-AFA3-45E574292028,00000020,32,00002710,"10,000z",0000000D,6,00C8,200,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,0046,0050,0064,0000,0000,0000,0000,50,70,80,100,0,0,0,0032,4,0000,5,0000,6,0000,7,50,70,80,100,0,0,0,,,EDA9B920,00000001,00000000,00000000,0003,0001,0000,0000,Guard,3,Attack Boost,1
0000000A,10,00000008,00002714,10004,00000000,00000000,00000000,00000000,00000000,0000000A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10,87029A08-9FC0-477D-98FB-218DA14E8C29,Hard Bone Lance,9AE9DB59-FB28-491E-BBED-0C646C596676,00000021,33,00004E20,"20,000z",0000000B,8,00E6,230,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0032,003C,0046,0046,0064,0000,0000,0000,50,60,70,70,100,0,0,0032,5,0000,6,0000,7,0000,8,50,60,70,70,100,0,0,,,EDA9B920,00000001,00000000,00000000,0003,0001,0000,0000,Guard,3,Attack Boost,1
0000000B,11,00000008,00002712,10002,00000000,00000000,00000000,00000000,00000000,0000000B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,11,3D6E9502-0F72-4810-B7DD-F999801D3E78,Chrome Drill I,D13B9C0C-7F4F-472C-B7D5-9D31C85D3D0E,00000012,18,00000320,800z,00000011,2,0078,120,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",001E,0028,005A,0028,0000,0000,0000,0000,30,40,90,40,0,0,0,0032,4,0000,5,0000,6,0000,7,30,40,90,40,0,0,0,,,9C370B80,00000000,00000000,00000000,0001,0000,0000,0000,Guard Up,1,,
0000000C,12,00000008,00002712,10002,00000000,00000000,00000000,00000000,00000000,0000000C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,12,A93BBB44-4C13-4EEE-8FAD-06AE8162531F,Chrome Drill II,84BEEADB-FACA-4936-9ABA-2316F167C0E5,00000013,19,00000A28,"2,600z",0000000F,4,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",001E,003C,005A,0046,0000,0000,0000,0000,30,60,90,70,0,0,0,0032,4,0000,5,0000,6,0000,7,30,60,90,70,0,0,0,,,9C370B80,00000000,00000000,00000000,0002,0000,0000,0000,Guard Up,2,,
0000000D,13,00000008,00002712,10002,00000000,00000000,00000000,00000000,00000000,0000000D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,13,B0A8AB19-2F95-4C88-9B5E-34AD32821F57,Chrome Drill III,F1873ACE-B855-4131-A005-95DFE6ED4CB4,00000014,20,00002710,"10,000z",0000000D,6,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",001E,0046,005A,003C,0032,0000,0000,0000,30,70,90,60,50,0,0,0032,5,0000,6,0000,7,0000,8,30,70,90,60,50,0,0,,,9C370B80,00000000,00000000,00000000,0002,0000,0000,0000,Guard Up,2,,
0000000E,14,00000008,00002712,10002,00000000,00000000,00000000,00000000,00000000,0000000E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,14,F7FC49D0-E6D3-4D7A-B30F-716E6170229B,Chrome Lance,79FB1394-E334-4305-8F40-6E124A7EBD30,00000015,21,00004E20,"20,000z",0000000B,8,00DC,220,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",001E,003C,005A,0046,0032,0032,0000,0000,30,60,90,70,50,50,0,0032,6,0000,7,0000,8,0000,9,30,60,90,70,50,50,0,,,9C370B80,00000000,00000000,00000000,0003,0000,0000,0000,Guard Up,3,,
0000000F,15,00000008,00000005,5,00000000,00000000,00000000,00000000,00000000,0000000F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,15,21347D2B-3F1F-439E-949A-9497E7C835BA,Quematrice Lanza I,8D1B31BF-1605-4694-981A-5EC4D5018353,00000029,41,000001F4,500z,00000012,1,0064,100,0000,0,0005,5%,00000001,FIRE,0000000A,10,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0046,0032,001E,0000,0000,0000,0000,50,70,50,30,0,0,0,0032,4,0000,5,0000,6,0000,7,50,70,50,30,0,0,0,,,EDA9B920,00000000,00000000,00000000,0001,0000,0000,0000,Guard,1,,
00000010,16,00000008,00000005,5,00000000,00000000,00000000,00000000,00000000,00000010,00000000,00000000,00000000,00000000,00000000,00000000,00000000,16,CF989B0F-6AA2-4F4A-AB9B-5C30D2AEBE5B,Quematrice Lanza II,CE4A3515-079F-4D03-83B9-7E300098328C,0000002A,42,000005DC,"1,500z",00000010,3,008C,140,0000,0,0005,5%,00000001,FIRE,0000000C,12,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0050,003C,003C,0000,0000,0000,0000,50,80,60,60,0,0,0,0032,4,0000,5,0000,6,0000,7,50,80,60,60,0,0,0,,,EDA9B920,00000000,00000000,00000000,0002,0000,0000,0000,Guard,2,,
